爱咋咋地,ai'za'za'di
白话,bai'hua
包源儿,bao'yuan'er
备不住,bei'bu'zhu
奔儿了头,ben'er'le'tou
逼逼咔咔,bi'bi'ka'ka
鼻嘎吧,bi'ga'ba
扯犊子,che'du'zi
杵胡子了,chu'hu'zi'le
刺挠,ci'nao
凑合,cou'he
打蔫,da'nian
得劲,de'jin
得瑟,de'se
吊儿郎当,diao'er'lang'dang
嗯哪,en'na
二倚子,er'yi'zi
噶哈,ga'ha
旮旯,ga'la
嘎拉哈,ga'la'ha
该里,gai'li
干吧愣子,gan'ba'leng'zi
干不拉瞎,gan'bu'la'xia
干哈,gan'ha
干哈玩意,gan'ha'wan'yi
赶趟,gan'tang
干仗,gan'zhang
钢钢地,gang'gang'di
疙不溜脆,ge'bu'liu'cui
咯了盖儿,ge'le'gai'er
隔路,ge'lu
硌应,ge'ying
够呛,gou'qiang
滚犊子,gun'du'zi
哈喇子,ha'la'zi
虎了吧唧,hu'le'ba'ji
坏菜了,huai'cai'le
魂儿画儿,hun'er'hua'er
叽歪,ji'wai
急眼,ji'yan
叫磕碜,jiao'ke'chen
矫情,jiao'qing
脚趾盖儿,jiao'zhi'gai'er
卡吐露皮了,ka'tu'lu'pi'le
磕巴,ke'ba
棵碜,ke'chen
吭哧瘪肚,keng'chi'bie'du
挎兜,kua'dou
老鼻子了,lao'bi'zi'le
唠嗑,lao'ke
嘛答,ma'da
麻溜,ma'liu
麻溜的,ma'liu'de
埋汰,mai'tai
毛了二愣,mao'le'er'leng
磨叽,mo'ji
那嘎达,na'ga'da
挠岗子了,nao'gang'zi'le
闹死了,nao'si'le
能歪,neng'wai
尿性,niao'xing
牛逼,niu'bi
皮儿片儿,pi'er'pian'er
婆婆丁,po'po'ding
戚儿,qi'er
曲么菜,qu'me'cai
撒欢,sa'huan
撒鸭子,sa'ya'zi
傻了八叽,sha'le'ba'ji
沙楞的,sha'leng'de
啥玩意儿,sha'wan'yi'er
山炮,shan'pao
上扇儿,shang'shan'er
挺毙,ting'bi
吐了反仗,tu'le'fan'zhang
我去了,wo'qu'le
稀罕,xi'han
下扇儿,xia'shan'er
瞎整,xia'zheng
熊色,xiong'se
仰逼扯胯,yang'bi'che'kua
扬了二正,yang'le'er'zheng
原先,yuan'xian
咋地,za'di
咋整的,za'zheng'de
贼拉的,zei'la'de
整事儿,zheng'shi'er
