阿尔泰雪鸡,a'er'tai'xue'ji
赤胸拟啄木鸟,chi'xiong'ni'zhuo'mu'niao
赤胸朱顶雀,chi'xiong'zhu'ding'que
赤胸啄木鸟,chi'xiong'zhuo'mu'niao
赤朱雀,chi'zhu'que
赤嘴潜鸭,chi'zui'qian'ya
丑鸭,chou'ya
纯褐鹱,chun'he'hu
纯蓝仙鹟,chun'lan'xian'weng
纯色岩燕,chun'se'yan'yan
纯色噪鹛,chun'se'zao'mei
纯色啄花鸟,chun'se'zhuo'hua'niao
丛林鸦,cong'lin'ya
翠金鹃,cui'jin'juan
翠鸟,cui'niao
翠鸟科,cui'niao'ke
大白鹭,da'bai'lu
大斑啄木鸟,da'ban'zhuo'mu'niao
大鸨,da'bao
大杓鹬,da'biao'yu
大滨鹬,da'bin'yu
大草鹛,da'cao'mei
大草莺,da'cao'ying
大杜鹃,da'du'juan
大凤头燕鸥,da'feng'tou'yan'ou
大红鹳,da'hong'guan
大黄冠啄木鸟,da'huang'guan'zhuo'mu'niao
大灰啄木鸟,da'hui'zhuo'mu'niao
大火烈鸟,da'huo'lie'niao
大金背啄木鸟,da'jin'bei'zhuo'mu'niao
大鹃鵙,da'juan'ju
大鵟,da'kuang
大绿雀鹎,da'lv'que'bei
大麻鳽,da'ma'zhan
大拟啄木鸟,da'ni'zhuo'mu'niao
大盘尾,da'pan'wei
大沙锥,da'sha'zhui
大山雀,da'shan'que
大石鸻,da'shi'heng
大石鸡,da'shi'ji
大树莺,da'shu'ying
大天鹅,da'tian'e
大苇莺,da'wei'ying
达乌里寒鸦,da'wu'li'han'ya
大仙鹟,da'xian'weng
大噪鹛,da'zao'mei
大朱雀,da'zhu'que
大紫胸鹦鹉,da'zi'xiong'ying'wu
大嘴乌鸦,da'zui'wu'ya
戴菊,dai'ju
戴菊科,dai'ju'ke
戴胜,dai'sheng
戴胜科,dai'sheng'ke
戴胜目,dai'sheng'mu
丹顶鹤,dan'ding'he
淡黄腰柳莺,dan'huang'yao'liu'ying
淡脚树莺,dan'jiao'shu'ying
淡绿鵙鹛,dan'lv'ju'mei
淡眉柳莺,dan'mei'liu'ying
淡紫,dan'zi
岛鸫,dao'dong
稻田苇莺,dao'tian'wei'ying
地鸫,di'dong
地莺,di'ying
点斑林鸽,dian'ban'lin'ge
点翅朱雀,dian'chi'zhu'que
点额圆尾鹱,dian'e'yuan'wei'hu
点胸鸦雀,dian'xiong'ya'que
雕鸮,diao'xiao
东方白鹳,dong'fang'bai'guan
东方斑鵖,dong'fang'ban'bi
东方大苇莺,dong'fang'da'wei'ying
东方鸻,dong'fang'heng
东方叽咋柳莺,dong'fang'ji'za'liu'ying
东方角鸮,dong'fang'jiao'xiao
董鸡,dong'ji
豆雁,dou'yan
杜鹃,du'juan
杜鹃科,du'juan'ke
渡鸦,du'ya
短翅鸫,duan'chi'dong
短翅莺,duan'chi'ying
短耳鸮,duan'er'xiao
短尾鹱,duan'wei'hu
短尾鹪鹛,duan'wei'jiao'mei
短尾鹩鹛,duan'wei'liao'mei
短尾鹲,duan'wei'meng
短尾信天翁,duan'wei'xin'tian'weng
短尾鸦雀,duan'wei'ya'que
短尾鹦鹉,duan'wei'ying'wu
短尾贼鸥,duan'wei'zei'ou
短趾百灵,duan'zhi'bai'ling
短趾雕,duan'zhi'diao
短嘴金丝燕,duan'zui'jin'si'yan
短嘴山椒鸟,duan'zui'shan'jiao'niao
钝翅稻田苇莺,dun'chi'dao'tian'wei'ying
峨眉柳莺,e'mei'liu'ying
二斑百灵,er'ban'bai'ling
耳夜鹰科,er'ye'ying'ke
发冠卷尾,fa'guan'juan'wei
帆背潜鸭,fan'bei'qian'ya
翻石鹬,fan'shi'yu
反嘴鹬,fan'zui'yu
方尾鹟,fang'wei'weng
菲利普斯,fei'li'pu'si
绯胸鹦鹉,fei'xiong'ying'wu
粉红腹岭雀,fen'hong'fu'ling'que
粉红椋鸟,fen'hong'liang'niao
粉红山椒鸟,fen'hong'shan'jiao'niao
粉红胸鹨,fen'hong'xiong'liu
粉红燕鸥,fen'hong'yan'ou
蜂虎,feng'hu
蜂虎科,feng'hu'ke
凤鹛,feng'mei
凤头,feng'tou
凤头百灵,feng'tou'bai'ling
凤头蜂鹰,feng'tou'feng'ying
凤头麦鸡,feng'tou'mai'ji
凤头鸊鷉,feng'tou'pi'si
凤头潜鸭,feng'tou'qian'ya
凤头雀莺,feng'tou'que'ying
凤头雀嘴鹎,feng'tou'que'zui'bei
凤头树燕,feng'tou'shu'yan
凤头鹀,feng'tou'wu
凤头鹰,feng'tou'ying
缝叶莺,feng'ye'ying
佛法僧,fo'fa'seng
佛法僧科,fo'fa'seng'ke
佛法僧目,fo'fa'seng'mu
甘肃黄腰柳莺,gan'su'huang'yao'liu'ying
高跷鹬,gao'qiao'yu
高山短翅莺,gao'shan'duan'chi'ying
高山金翅,gao'shan'jin'chi
高山金翅雀,gao'shan'jin'chi'que
高山岭雀,gao'shan'ling'que
高山雀鹛,gao'shan'que'mei
高山兀鹫,gao'shan'wu'jiu
高山旋木雀,gao'shan'xuan'mu'que
高山雨燕,gao'shan'yu'yan
高原山鹑,gao'yuan'shan'chun
高原岩鹨,gao'yuan'yan'liu
歌百灵,ge'bai'ling
歌鸫,ge'dong
歌鸲,ge'qu
戈氏金丝燕,ge'shi'jin'si'yan
戈氏岩鹀,ge'shi'yan'wu
鸽形目,ge'xing'mu
钩嘴林鵙,gou'zui'lin'ju
钩嘴鹛,gou'zui'mei
钩嘴圆尾鹱,gou'zui'yuan'wei'hu
骨顶鸡,gu'ding'ji
孤沙锥,gu'sha'zhui
古铜色卷尾,gu'tong'se'juan'wei
冠斑犀鸟,guan'ban'xi'niao
冠海雀,guan'hai'que
鹳科,guan'ke
冠麻鸭,guan'ma'ya
冠纹柳莺,guan'wen'liu'ying
鹳形目,guan'xing'mu
冠鱼狗,guan'yu'gou
鹳嘴翡翠,guan'zui'fei'cui
光背地鸫,guang'bei'di'dong
鬼鸮,gui'xiao
海鸬鹚,hai'lu'ci
海南孔雀雉,hai'nan'kong'que'zhi
海南蓝仙鹟,hai'nan'lan'xian'weng
海南柳莺,hai'nan'liu'ying
海南山鹧鸪,hai'nan'shan'zhe'gu
海南鳽,hai'nan'zhan
海鸥,hai'ou
海雀,hai'que
海燕,hai'yan
寒鸦,han'ya
褐背拟地鸦,he'bei'ni'di'ya
褐背鹊鵙,he'bei'que'ju
褐翅雪雀,he'chi'xue'que
褐翅鸦鹃,he'chi'ya'juan
褐翅鸦雀,he'chi'ya'que
褐翅燕鸥,he'chi'yan'ou
褐顶雀鹛,he'ding'que'mei
褐耳鹰,he'er'ying
何芬奇,he'fen'qi
褐冠鹃隼,he'guan'juan'sun
褐冠山雀,he'guan'shan'que
褐河乌,he'he'wu
褐喉沙燕,he'hou'sha'yan
褐喉旋木雀,he'hou'xuan'mu'que
褐灰雀,he'hui'que
褐鲣鸟,he'jian'niao
鹤科,he'ke
贺兰山红尾鸲,he'lan'shan'hong'wei'qu
贺兰山岩鹨,he'lan'shan'yan'liu
褐脸雀鹛,he'lian'que'mei
褐林鸮,he'lin'xiao
褐柳莺,he'liu'ying
褐马鸡,he'ma'ji
和平鸟,he'ping'niao
和平鸟科,he'ping'niao'ke
禾雀,he'que
褐山鹪莺,he'shan'jiao'ying
褐头鸫,he'tou'dong
褐头凤鹛,he'tou'feng'mei
褐头鹪莺,he'tou'jiao'ying
褐头岭雀,he'tou'ling'que
褐头雀鹛,he'tou'que'mei
褐头山雀,he'tou'shan'que
褐头鹀,he'tou'wu
河乌,he'wu
河乌科,he'wu'ke
褐胁雀鹛,he'xie'que'mei
鹤形目,he'xing'mu
褐胸山鹧鸪,he'xiong'shan'zhe'gu
褐胸鹟,he'xiong'weng
褐胸噪鹛,he'xiong'zao'mei
褐鸦雀,he'ya'que
褐岩鹨,he'yan'liu
鹤鹬,he'yu
褐渔鸮,he'yu'xiao
褐贼鸥,he'zei'ou
黑白林鵖,hei'bai'lin'bi
黑百灵,hei'bai'ling
黑斑蝗莺,hei'ban'huang'ying
黑鹎,hei'bei
黑背鹡鸰,hei'bei'ji'ling
黑背信天翁,hei'bei'xin'tian'weng
黑背燕尾,hei'bei'yan'wei
黑叉尾海燕,hei'cha'wei'hai'yan
黑长尾雉,hei'chang'wei'zhi
黑翅长脚鹬,hei'chi'chang'jiao'yu
黑翅雀鹎,hei'chi'que'bei
黑翅鸢,hei'chi'yuan
黑顶蟆口鸱,hei'ding'ma'kou'chi
黑顶麻雀,hei'ding'ma'que
黑顶奇鹛,hei'ding'qi'mei
黑顶噪鹛,hei'ding'zao'mei
黑短脚鹎,hei'duan'jiao'bei
黑额伯劳,hei'e'bo'lao
黑额凤鹛,hei'e'feng'mei
黑额山噪鹛,hei'e'shan'zao'mei
黑额树鹊,hei'e'shu'que
黑耳鸢,hei'er'yuan
黑腹滨鹬,hei'fu'bin'yu
黑浮鸥,hei'fu'ou
黑腹沙鸡,hei'fu'sha'ji
黑腹蛇鹈,hei'fu'she'ti
黑腹燕鸥,hei'fu'yan'ou
黑鹳,hei'guan
黑冠黄鹎,hei'guan'huang'bei
黑冠鹃隼,hei'guan'juan'sun
黑冠椋鸟,hei'guan'liang'niao
黑冠山雀,hei'guan'shan'que
黑冠鳽,hei'guan'zhan
黑海番鸭,hei'hai'fan'ya
黑喉缝叶莺,hei'hou'feng'ye'ying
黑喉歌鸲,hei'hou'ge'qu
黑喉红臀鹎,hei'hou'hong'tun'bei
黑喉红尾鸲,hei'hou'hong'wei'qu
黑喉毛脚燕,hei'hou'mao'jiao'yan
黑喉潜鸟,hei'hou'qian'niao
黑喉山鹪莺,hei'hou'shan'jiao'ying
黑喉石鵖,hei'hou'shi'bi
黑喉雪雀,hei'hou'xue'que
黑喉岩鹨,hei'hou'yan'liu
黑喉噪鹛,hei'hou'zao'mei
黑喉织布鸟,hei'hou'zhi'bu'niao
黑鹮,hei'huan
黑脚信天翁,hei'jiao'xin'tian'weng
黑颈,hei'jing
黑颈长尾雉,hei'jing'chang'wei'zhi
黑颈鹤,hei'jing'he
黑颈鸬鹚,hei'jing'lu'ci
黑颈鸊鷉,hei'jing'pi'si
黑卷尾,hei'juan'wei
黑颏果鸠,hei'ke'guo'jiu
黑脸琵鹭,hei'lian'pi'lu
黑脸鹟莺,hei'lian'weng'ying
黑脸噪鹛,hei'lian'zao'mei
黑林鸽,hei'lin'ge
黑领椋鸟,hei'ling'liang'niao
黑领噪鹛,hei'ling'zao'mei
黑眉长尾山雀,hei'mei'chang'wei'shan'que
黑眉柳莺,hei'mei'liu'ying
黑眉拟啄木鸟,hei'mei'ni'zhuo'mu'niao
黑眉苇莺,hei'mei'wei'ying
黑眉鸦雀,hei'mei'ya'que
黑琴鸡,hei'qin'ji
黑水鸡,hei'shui'ji
黑头,hei'tou
黑头白鹮,hei'tou'bai'huan
黑头鹎,hei'tou'bei
黑头长尾山雀,hei'tou'chang'wei'shan'que
黑头黄鹂,hei'tou'huang'li
黑头角雉,hei'tou'jiao'zhi
黑头金翅,hei'tou'jin'chi
黑头金翅雀,hei'tou'jin'chi'que
黑头蜡嘴雀,hei'tou'la'zui'que
黑头奇鹛,hei'tou'qi'mei
黑头穗鹛,hei'tou'sui'mei
黑头鹀,hei'tou'wu
黑头噪鸦,hei'tou'zao'ya
黑尾塍鹬,hei'wei'cheng'yu
黑尾地鸦,hei'wei'di'ya
黑尾蜡嘴雀,hei'wei'la'zui'que
黑尾鸥,hei'wei'ou
黑兀鹫,hei'wu'jiu
黑鹇,hei'xian
黑胸鸫,hei'xiong'dong
黑胸歌鸲,hei'xiong'ge'qu
黑胸麻雀,hei'xiong'ma'que
黑胸太阳鸟,hei'xiong'tai'yang'niao
黑雁,hei'yan
黑腰滨鹬,hei'yao'bin'yu
黑鸢,hei'yuan
黑鳽,hei'zhan
黑枕黄鹂,hei'zhen'huang'li
黑枕王鹟,hei'zhen'wang'weng
黑枕燕鸥,hei'zhen'yan'ou
黑啄木鸟,hei'zhuo'mu'niao
黑嘴端凤头燕鸥,hei'zui'duan'feng'tou'yan'ou
黑嘴鸥,hei'zui'ou
黑嘴松鸡,hei'zui'song'ji
横斑腹小鸮,heng'ban'fu'xiao'xiao
横斑林莺,heng'ban'lin'ying
鸻科,heng'ke
红背伯劳,hong'bei'bo'lao
红背红尾鸲,hong'bei'hong'wei'qu
红翅凤头鹃,hong'chi'feng'tou'juan
红翅鵙鹛,hong'chi'ju'mei
红翅绿鸠,hong'chi'lv'jiu
红翅薮鹛,hong'chi'sou'mei
红翅旋壁雀,hong'chi'xuan'bi'que
红点颏,hong'dian'ke
红顶绿鸠,hong'ding'lv'jiu
红顶鹛,hong'ding'mei
红额金翅,hong'e'jin'chi
红额金翅雀,hong'e'jin'chi'que
红额穗鹛,hong'e'sui'mei
红耳鹎,hong'er'bei
红腹滨鹬,hong'fu'bin'yu
红腹红尾鸲,hong'fu'hong'wei'qu
红腹灰雀,hong'fu'hui'que
红腹角雉,hong'fu'jiao'zhi
红腹锦鸡,hong'fu'jin'ji
红腹山雀,hong'fu'shan'que
红腹咬鹃,hong'fu'yao'juan
红鹳科,hong'guan'ke
红喉歌鸲,hong'hou'ge'qu
红喉姬鹟,hong'hou'ji'weng
红喉鹨,hong'hou'liu
红喉潜鸟,hong'hou'qian'niao
红喉山鹧鸪,hong'hou'shan'zhe'gu
红脚鲣鸟,hong'jiao'jian'niao
红脚苦恶鸟,hong'jiao'ku'e'niao
红脚隼,hong'jiao'sun
红脚鹬,hong'jiao'yu
红交嘴雀,hong'jiao'zui'que
红颈瓣蹼鹬,hong'jing'ban'pu'yu
红颈滨鹬,hong'jing'bin'yu
红颈绿啄木鸟,hong'jing'lv'zhuo'mu'niao
红颈苇鹀,hong'jing'wei'wu
红角鸮,hong'jue'xiao
红脸鸬鹚,hong'lian'lu'ci
红领绿鹦鹉,hong'ling'lv'ying'wu
红梅花雀,hong'mei'hua'que
红眉金翅雀,hong'mei'jin'chi'que
红眉松雀,hong'mei'song'que
红眉朱雀,hong'mei'zhu'que
红隼,hong'sun
红头长尾山雀,hong'tou'chang'wei'shan'que
红头灰雀,hong'tou'hui'que
红头潜鸭,hong'tou'qian'ya
红头穗鹛,hong'tou'sui'mei
红头鸦雀,hong'tou'ya'que
红头咬鹃,hong'tou'yao'juan
红头噪鹛,hong'tou'zao'mei
红腿斑秧鸡,hong'tui'ban'yang'ji
红腿小隼,hong'tui'xiao'sun
红尾伯劳,hong'wei'bo'lao
红尾歌鸲,hong'wei'ge'qu
红尾鹲,hong'wei'meng
红尾鸲,hong'wei'qu
红尾水鸲,hong'wei'shui'qu
红胁蓝尾鸲,hong'xie'lan'wei'qu
红胁绣眼鸟,hong'xie'xiu'yan'niao
红胸黑雁,hong'xiong'hei'yan
红胸鸻,hong'xiong'heng
红胸角雉,hong'xiong'jiao'zhi
红胸秋沙鸭,hong'xiong'qiu'sha'ya
红胸山鹧鸪,hong'xiong'shan'zhe'gu
红胸田鸡,hong'xiong'tian'ji
红胸朱雀,hong'xiong'zhu'que
红胸啄花鸟,hong'xiong'zhuo'hua'niao
鸿雁,hong'yan
红腰朱雀,hong'yao'zhu'que
红嘴钩嘴鹛,hong'zui'gou'zui'mei
红嘴巨鸥,hong'zui'ju'ou
红嘴蓝鹊,hong'zui'lan'que
红嘴椋鸟,hong'zui'liang'niao
红嘴鸥,hong'zui'ou
红嘴山鸦,hong'zui'shan'ya
红嘴相思鸟,hong'zui'xiang'si'niao
红嘴鸦雀,hong'zui'ya'que
厚嘴绿鸠,hou'zui'lv'jiu
厚嘴苇莺,hou'zui'wei'ying
厚嘴啄花鸟,hou'zui'zhuo'hua'niao
虎斑地鸫,hu'ban'di'dong
槲鸫,hu'dong
鹱科,hu'ke
虎头海雕,hu'tou'hai'diao
虎纹伯劳,hu'wen'bo'lao
胡兀鹫,hu'wu'jiu
花彩雀莺,hua'cai'que'ying
花腹绿啄木鸟,hua'fu'lv'zhuo'mu'niao
花冠皱盔犀鸟,hua'guan'zhou'kui'xi'niao
花脸鸭,hua'lian'ya
画眉,hua'mei
花田鸡,hua'tian'ji
花头鸺鹠,hua'tou'xiu'liu
花头鹦鹉,hua'tou'ying'wu
花尾榛鸡,hua'wei'zhen'ji
环颈鸻,huan'jing'heng
环颈山鹧鸪,huan'jing'shan'zhe'gu
鹮科,huan'ke
鹮嘴鹬,huan'zui'yu
黄额鸦雀,huang'e'ya'que
黄腹冠鹎,huang'fu'guan'bei
黄腹花蜜鸟,huang'fu'hua'mi'niao
黄腹鹪莺,huang'fu'jiao'ying
黄腹角雉,huang'fu'jiao'zhi
黄腹鹨,huang'fu'liu
黄腹柳莺,huang'fu'liu'ying
黄腹山雀,huang'fu'shan'que
黄腹扇尾鹟,huang'fu'shan'wei'weng
黄腹树莺,huang'fu'shu'ying
黄腹鹟莺,huang'fu'weng'ying
黄腹啄花鸟,huang'fu'zhuo'hua'niao
黄肛啄花鸟,huang'gang'zhuo'hua'niao
黄冠啄木鸟,huang'guan'zhuo'mu'niao
黄喉蜂虎,huang'hou'feng'hu
