艾窝窝,ai'wo'wo
熬乳茶,ao'ru'cha
八宝兔丁,ba'bao'tu'ding
八宝野鸭,ba'bao'ye'ya
白扒广肚,bai'ba'guang'du
白扒鱼唇,bai'ba'yu'chun
百花鸭舌,bai'hua'ya'she
百寿桃,bai'shou'tao
爆炒田鸡,bao'chao'tian'ji
爆炒鱿鱼,bao'chao'you'yu
北京辣菜,bei'jing'la'cai
冰糖核桃,bing'tang'he'tao
饽饽二品,bo'bo'er'pin
饽饽四品,bo'bo'si'pin
菠萝软糖,bo'luo'ruan'tang
参芪炖白凤,can'qi'dun'bai'feng
草菇西兰花,cao'gu'xi'lan'hua
茶食刀切,cha'shi'dao'qie
茶台茗叙,cha'tai'ming'xu
长春卷,chang'chun'juan
长春鹿鞭汤,chang'chun'lu'bian'tang
长寿龙须面,chang'shou'long'xu'mian
炒墨鱼丝,chao'mo'yu'si
炒珍珠鸡,chao'zhen'zhu'ji
陈皮兔肉,chen'pi'tu'rou
持炉珍珠鸡,chi'lu'zhen'zhu'ji
串炸鲜贝,chuan'zha'xian'bei
川汁鸭掌,chuan'zhi'ya'zhang
刺龙牙,ci'long'ya
刺五加,ci'wu'jia
慈禧小窝头,ci'xi'xiao'wo'tou
葱爆牛柳,cong'bao'niu'liu
葱段,cong'duan
葱烧鲨鱼皮,cong'shao'sha'yu'pi
攒盒一品,cuan'he'yi'pin
翠玉豆糕,cui'yu'dou'gao
大救驾,da'jiu'jia
大叶芹,da'ye'qin
到奉点心,dao'feng'dian'xin
洞庭碧螺春,dong'ting'bi'luo'chun
豆面饽饽,dou'mian'bo'bo
豆沙卷,dou'sha'juan
豆沙苹果,dou'sha'ping'guo
二龙戏珠,er'long'xi'zhu
蕃茄马蹄,fan'qie'ma'ti
飞龙脯,fei'long'pu
焚香入宴,fen'xiang'ru'yan
蜂蜜花生,feng'mi'hua'sheng
凤尾烧麦,feng'wei'shao'mai
凤尾鱼翅,feng'wei'yu'chi
奉香上寿,feng'xiang'shang'shou
佛手金卷,fo'shou'jin'juan
福建乌龙,fu'jian'wu'long
福字瓜烧里脊,fu'zi'gua'shao'li'ji
父子同欢,fu'zi'tong'huan
干连福海参,gan'lian'fu'hai'shen
告别香茗,gao'bie'xiang'ming
鸽子玻璃糕,ge'zi'bo'li'gao
宫保野兔,gong'bao'ye'tu
宫廷小黄瓜,gong'ting'xiao'huang'gua
宫廷小萝葡,gong'ting'xiao'luo'pu
鼓板龙蟹,gu'ban'long'xie
古乐伴宴,gu'yue'ban'yan
挂炉沙板鸡,gua'lu'sha'ban'ji
挂炉山鸡,gua'lu'shan'ji
怪味大扁,guai'wei'da'bian
怪味核桃,guai'wei'he'tao
怪味鸡条,guai'wei'ji'tiao
怪味腰果,guai'wei'yao'guo
罐焖鱼唇,guan'men'yu'chun
桂花大头菜,gui'hua'da'tou'cai
桂花酱鸡,gui'hua'jiang'ji
桂花辣酱芥,gui'hua'la'jiang'jie
桂花鱼条,gui'hua'yu'tiao
果酱金糕,guo'jiang'jin'gao
蛤什蟆汤,ha'shen'ma'tang
蚝油牛柳,hao'you'niu'liu
蚝油仔鸡,hao'you'zi'ji
核桃酪,he'tao'lao
核桃粘,he'tao'zhan
荷叶鸡,he'ye'ji
荷叶膳粥,he'ye'shan'zhou
合意饼,he'yi'bing
红豆膳粥,hong'dou'shan'zhou
红梅珠香,hong'mei'zhu'xiang
红烧赤贝,hong'shao'chi'bei
红烧麒麟面,hong'shao'qi'lin'mian
红烧鱼骨,hong'shao'yu'gu
红油鸭子,hong'you'ya'zi
洪字鸡丝黄瓜,hong'zi'ji'si'huang'gua
蝴蝶暇卷,hu'die'xia'juan
湖米茭白,hu'mi'jiao'bai
虎皮花生,hu'pi'hua'sheng
花菇鸭掌,hua'gu'ya'zhang
滑溜贝球,hua'liu'bei'qiu
花生粘,hua'sheng'zhan
花盏龙眼,hua'zhan'long'yan
黄金角,huang'jin'jiao
慧仁米粥,hui'ren'mi'zhou
鸡丝银耳,ji'si'yin'er
酱菜四品,jiang'cai'si'pin
酱黑菜,jiang'hei'cai
酱焖鹌鹑,jiang'men'an'chun
酱桃仁,jiang'tao'ren
姜汁鱼片,jiang'zhi'yu'pian
疆字红油百叶,jiang'zi'hong'you'bai'ye
椒油茭白,jiao'you'jiao'bai
椒油银耳,jiao'you'yin'er
芥茉鸭掌,jie'mo'ya'zhang
金蟾玉鲍,jin'chan'yu'bao
金糕,jin'gao
金糕卷,jin'gao'juan
金菇掐菜,jin'gu'qia'cai
金丝烧麦,jin'si'shao'mai
金丝酥雀,jin'si'su'que
金腿烧圆鱼,jin'tui'shao'yuan'yu
敬奉环浆,jing'feng'huan'jiang
菊花佛手酥,ju'hua'fo'shou'su
菊花里脊,ju'hua'li'ji
君山银针,jun'shan'yin'zhen
烤鹿脯,kao'lu'pu
烤鱼扇,kao'yu'shan
可可桃仁,ke'ke'tao'ren
辣白菜卷,la'bai'cai'juan
喇嘛糕,la'ma'gao
丽人献茗,li'ren'xian'ming
栗子糕,li'zi'gao
莲花卷,lian'hua'juan
莲蓬豆腐,lian'peng'dou'fu
莲子糕,lian'zi'gao
莲子膳粥,lian'zi'shan'zhou
溜鸡脯,liu'ji'pu
龙抱凤蛋,long'bao'feng'dan
龙凤呈祥,long'feng'cheng'xiang
龙凤柔情,long'feng'rou'qing
龙井竹荪,long'jing'zhu'sun
龙须面,long'xu'mian
龙舟镢鱼,long'zhou'jue'yu
鹿肉片,lu'rou'pian
庐山云雾,lu'shan'yun'wu
罗汉大虾,luo'han'da'xia
麻辣鹌鹑,ma'la'an'chun
麻辣口条,ma'la'kou'tiao
麻辣蹄筋,ma'la'ti'jin
麻仁鹿肉串,ma'ren'lu'rou'chuan
蜜饯槟子,mi'jian'bin'zi
蜜饯菠萝,mi'jian'bo'luo
蜜饯瓜条,mi'jian'gua'tiao
蜜饯桂圆,mi'jian'gui'yuan
蜜饯海棠,mi'jian'hai'tang
蜜饯红果,mi'jian'hong'guo
蜜饯金枣,mi'jian'jin'zao
蜜饯桔子,mi'jian'ju'zi
蜜饯莱阳梨,mi'jian'lai'yang'li
蜜饯李子,mi'jian'li'zi
蜜饯菱角,mi'jian'ling'jiao
蜜饯龙眼,mi'jian'long'yan
蜜饯马蹄,mi'jian'ma'ti
蜜饯苹果,mi'jian'ping'guo
蜜饯葡萄,mi'jian'pu'tao
蜜饯青梅,mi'jian'qing'mei
蜜饯四品,mi'jian'si'pin
蜜饯鲜桃,mi'jian'xian'tao
蜜饯香蕉,mi'jian'xiang'jiao
蜜饯银杏,mi'jian'yin'xing
蜜饯樱桃,mi'jian'ying'tao
蜜汁蕃茄,mi'zhi'fan'qie
蜜汁辣黄瓜,mi'zhi'la'huang'gua
明珠豆腐,ming'zhu'dou'fu
茉莉雀舌毫,mo'li'que'she'hao
墨鱼羹,mo'yu'geng
木犀糕,mu'xi'gao
奶白葡萄,nai'bai'pu'tao
奶白杏仁,nai'bai'xing'ren
奶白枣宝,nai'bai'zao'bao
奶油菠萝冻,nai'you'bo'luo'dong
奶汁角,nai'zhi'jiao
奶汁鱼片,nai'zhi'yu'pian
年字口蘑发菜,nian'zi'kou'mo'fa'cai
牛柳炒白蘑,niu'liu'chao'bai'mo
糯米凉糕,nuo'mi'liang'gao
泡绿菜花,pao'lv'cai'hua
狍子脊,pao'zi'ji
琵琶大虾,pi'pa'da'xia
片皮乳猪,pian'pi'ru'zhu
苹果软糖,ping'guo'ruan'tang
前菜七品,qian'cai'qi'pin
前菜四品,qian'cai'si'pin
前菜五品,qian'cai'wu'pin
千层蒸糕,qian'ceng'zheng'gao
乾果四品,qian'guo'si'pin
巧手烧雁鸢,qiao'shou'shao'yan'yuan
清炸鹌鹑,qing'zha'an'chun
热炒四品,re'chao'si'pin
人参果,ren'shen'guo
绒鸡待哺,rong'ji'dai'bu
肉丁黄瓜酱,rou'ding'huang'gua'jiang
肉未烧饼,rou'wei'shao'bing
如意卷,ru'yi'juan
三丝瓜卷,san'si'gua'juan
三鲜龙凤球,san'xian'long'feng'qiu
三仙丸子,san'xian'wan'zi
砂锅煨鹿筋,sha'guo'wei'lu'jin
沙舟踏翠,sha'zhou'ta'cui
山鸡片,shan'ji'pian
膳汤一品,shan'tang'yi'pin
山珍刺龙芽,shan'zhen'ci'long'ya
山珍刺五加,shan'zhen'ci'wu'jia
山珍大叶芹,shan'zhen'da'ye'qin
山珍蕨菜,shan'zhen'jue'cai
膳粥一品,shan'zhou'yi'pin
烧烤二品,shao'kao'er'pin
什香菜,shen'xiang'cai
生烤狍肉,sheng'kao'pao'rou
狮峰龙井,shi'feng'long'jing
什锦花篮,shi'jin'hua'lan
柿霜软糖,shi'shuang'ruan'tang
首乌鸡丁,shou'wu'ji'ding
寿字五香大虾,shou'zi'wu'xiang'da'xia
双色豆糕,shuang'se'dou'gao
双色马蹄糕,shuang'se'ma'ti'gao
双色软糖,shuang'se'ruan'tang
水果一品,shui'guo'yi'pin
水晶梅花包,shui'jing'mei'hua'bao
水晶软糖,shui'jing'ruan'tang
四甜蜜饯,si'tian'mi'jian
四喜饺,si'xi'jiao
四喜乾果,si'xi'qian'guo
松鹤延年,song'he'yan'nian
松树猴头蘑,song'shu'hou'tou'mo
随上薄饼,sui'shang'bao'bing
随上荷叶卷,sui'shang'he'ye'juan
糖炒大扁,tang'chao'da'bian
糖醋荷藕,tang'cu'he'ou
糖蒜,tang'suan
桃仁山鸡丁,tao'ren'shan'ji'ding
甜合锦,tian'he'jin
甜酱,tian'jiang
甜酱萝葡,tian'jiang'luo'pu
甜辣乾,tian'la'qian
甜面酱,tian'mian'jiang
甜酸乳瓜,tian'suan'ru'gua
天香鲍鱼,tian'xiang'bao'yu
豌豆黄,wan'dou'huang
万字麻辣肚丝,wan'zi'ma'la'du'si
万字珊瑚白菜,wan'zi'shan'hu'bai'cai
维族烤羊肉,wei'zu'kao'yang'rou
五彩抄手,wu'cai'chao'shou
五彩炒驼峰,wu'cai'chao'tuo'feng
乌龙吐珠,wu'long'tu'zhu
五香酱鸡,wu'xiang'jiang'ji
五香熟芥,wu'xiang'shu'jie
五香杏仁,wu'xiang'xing'ren
五香腰果,wu'xiang'yao'guo
五香仔鸽,wu'xiang'zi'ge
无字盐水牛肉,wu'zi'yan'shui'niu'rou
喜鹊登梅,xi'que'deng'mei
稀珍黑米粥,xi'zhen'hei'mi'zhou
暇油黄瓜,xia'you'huang'gua
虾籽冬笋,xia'zi'dong'sun
