吖嘛,a'ma
阿吱阿咗,a'zhi'a'zuo
嗌交,ai'jiao
巴闭,ba'bi
八卦,ba'gua
巴喳,ba'zha
白撞,bai'zhuang
帮衬,bang'chen
磅水,bang'shui
爆大锅,bao'da'guo
爆晒棚,bao'shai'peng
煲粥,bao'zhou
俾返,bi'fan
鼻哥,bi'ge
鼻哥竉,bi'ge'long
弊家伙,bi'jia'huo
俾人坤,bi'ren'kun
边度,bian'du
边有啊,bian'you'a
睬你都傻,cai'ni'dou'sha
嘈交,cao'jiao
嘈冤巴闭,cao'yuan'ba'bi
茶煲,cha'bao
潮爆,chao'bao
潮人,chao'ren
扯猫尾,che'mao'wei
衬到绝,chen'dao'jue
痴孖筋,chi'ma'jin
痴閪线,chi'se'xian
痴线,chi'xian
冲凉,chong'liang
穿窿,chuan'long
吹水,chui'shui
吹水唔抹嘴,chui'shui'wu'mo'zui
蠢到死,chun'dao'si
大锅,da'guo
打喊露,da'han'lu
打交,da'jiao
大佬,da'lao
打冷震,da'leng'zhen
大肶,da'pi
大只讲口巷巷,da'zhi'jiang'kou'xiang'xiang
氹氹转,dang'dang'zhuan
氹人,dang'ren
到咗未,dao'zuo'wei
得啖笑,de'dan'xiao
得唔得,de'wu'de
得闲,de'xian
等埋,deng'mai
等埋我,deng'mai'wo
等唔切,deng'wu'qie
等阵,deng'zhen
第日,di'ri
睇唔出,di'wu'chu
点解,dian'jie
点算,dian'suan
点知,dian'zhi
爹哋,die'di
疊埋心水,die'mai'xin'shui
喋晒糖咁款,die'shai'tang'gan'kuan
顶肺,ding'fei
定过抬油,ding'guo'tai'you
顶你个肺,ding'ni'ge'fei
顶唔顺,ding'wu'shun
顶嘴,ding'zui
钉咗,ding'zuo
丢架,diu'jia
呃人,e'ren
奀妹,en'mei
奀挑鬼命,en'tiao'gui'ming
二打六,er'da'liu
二五仔,er'wu'zai
发烂咋,fa'lan'za
发生咩事,fa'sheng'mie'shi
返到嚟,fan'dao'li
返到未,fan'dao'wei
反骨仔,fan'gu'zai
返嚟啦,fan'li'la
返屋企,fan'wu'qi
方死冇人知,fang'si'mao'ren'zhi
狒狒哋,fei'fei'di
肥佬,fei'lao
粉肠,fen'chang
瞓觉,fen'jiao
咁,gan
咁点算,gan'dian'suan
咁都得,gan'dou'de
咁啱,gan'yan
咁样,gan'yang
咁滞,gan'zhi
搞错,gao'cuo
搞掂,gao'dian
搞乜啊,gao'mie'a
嗰个,ge'ge
个脑生喺屎忽度,ge'nao'sheng'xi'shi'hu'du
隔夜粥,ge'ye'zhou
嗰阵,ge'zhen
梗係,geng'xi
孤寒,gu'han
咕哩,gu'li
掛住,gua'zhu
果度,guo'du
憨居,han'ju
好便,hao'bian
好攰,hao'gui
好嬲咩,hao'niao'mie
好味,hao'wei
好唔开心,hao'wu'kai'xin
核突,he'tu
横荷,heng'he
话晒,hua'shai
话时话,hua'shi'hua
黄朝白晏,huang'chao'bai'yan
黄坑,huang'keng
鸡咁脚,ji'gan'jiao
鸡肶,ji'pi
家姐,jia'jie
架喇,jia'la
讲咩,jiang'mie
讲咩啊,jiang'mie'a
冚家产,kan'jia'chan
坤人,kun'ren
楋手唔成势,la'shou'wu'cheng'shi
老细,lao'xi
叻唔切,le'wu'qie
冷衫,leng'shan
理得佢,li'de'qu
嚟讲,li'jiang
嚟啦,li'la
立石,li'shi
碌葛,lu'ge
陆无双,lu'wu'shuang
陆洲,lu'zhou
落答,luo'da
箩底橙,luo'di'cheng
落嚟,luo'li
箩柚,luo'you
麻麻哋,ma'ma'di
妈咪,ma'mi
埋冷,mai'leng
卖剩蔗,mai'sheng'zhe
冇得弹,mao'de'dan
冇得倾,mao'de'qing
冇计,mao'ji
茂里,mao'li
冇嚟正经,mao'li'zheng'jing
冇钱,mao'qian
冇晒,mao'shai
冇事,mao'shi
冇问题,mao'wen'ti
冇呀,mao'ya
冇嘢,mao'ye
蒙查查,meng'cha'cha
掹掹緊,meng'meng'jin
懵盛盛,meng'sheng'sheng
咪住,mi'zhu
面珠趸,mian'zhu'dun
乜都得,mie'dou'dei
咩事,mie'shi
咩嘢,mie'ye
木嘴,mu'zui
呢啲,ne'di
呢度,ne'du
你哋,ni'di
你哋喺边度,ni'di'xi'bian'du
你好嘢,ni'hao'ye
你话咩话,ni'hua'mie'hua
你话事,ni'hua'shi
你老屎,ni'lao'shi
