阿波罗,a'bo'luo
金土六合,jin'tu'lu'he
金土三合,jin'tu'san'he
金土刑,jin'tu'xing
九宫,jiu'gong
九宫宫头,jiu'gong'gong'tou
卡布,ka'bu
凯龙,kai'long
凯龙白羊,kai'long'bai'yang
凯龙处女,kai'long'chu'nv
凯龙金牛,kai'long'jin'niu
凯龙巨蟹,kai'long'ju'xie
凯龙摩羯,kai'long'mo'jie
凯龙射手,kai'long'she'shou
凯龙狮子,kai'long'shi'zi
凯龙双鱼,kai'long'shuang'yu
凯龙双子,kai'long'shuang'zi
凯龙水瓶,kai'long'shui'ping
凯龙天枰,kai'long'tian'ping
凯龙天蝎,kai'long'tian'xie
凯龙星,kai'long'xing
克洛诺斯,ke'luo'nuo'si
莉莉丝,li'li'si
六宫,liu'gong
六宫宫头,liu'gong'gong'tou
马克思盘,ma'ke'si'pan
冥王白羊,ming'wang'bai'yang
冥王处女,ming'wang'chu'nv
冥王金牛,ming'wang'jin'niu
冥王巨蟹,ming'wang'ju'xie
冥王摩羯,ming'wang'mo'jie
冥王射手,ming'wang'she'shou
冥王狮子,ming'wang'shi'zi
冥王双鱼,ming'wang'shuang'yu
冥王双子,ming'wang'shuang'zi
冥王水瓶,ming'wang'shui'ping
冥王天枰,ming'wang'tian'ping
冥王天蝎,ming'wang'tian'xie
木白羊,mu'bai'yang
木处女,mu'chu'nv
木金牛,mu'jin'niu
木巨蟹,mu'ju'xie
木摩羯,mu'mo'jie
木射手,mu'she'shou
木狮子,mu'shi'zi
木双鱼,mu'shuang'yu
木双子,mu'shuang'zi
木水瓶,mu'shui'ping
木天枰,mu'tian'ping
木天蝎,mu'tian'xie
南交,nan'jiao
南交点,nan'jiao'dian
普罗塞比娥,pu'luo'sai'bi'e
七宫,qi'gong
七宫宫头,qi'gong'gong'tou
丘比特,qiu'bi'te
日白羊,ri'bai'yang
日处女,ri'chu'nv
日海冲,ri'hai'chong
日海拱,ri'hai'gong
日海六合,ri'hai'lu'he
日海三合,ri'hai'san'he
日海刑,ri'hai'xing
日火冲,ri'huo'chong
日火合,ri'huo'he
日火六合,ri'huo'lu'he
日火三合,ri'huo'san'he
日火邢,ri'huo'xing
日金冲,ri'jin'chong
日金拱,ri'jin'gong
日金合,ri'jin'he
日金六合,ri'jin'lu'he
日金牛,ri'jin'niu
日金三合,ri'jin'san'he
日金刑,ri'jin'xing
日巨蟹,ri'ju'xie
日冥冲,ri'ming'chong
日冥拱,ri'ming'gong
日冥合,ri'ming'he
日冥六合,ri'ming'lu'he
日冥三合,ri'ming'san'he
日冥刑,ri'ming'xing
日摩羯,ri'mo'jie
日木冲,ri'mu'chong
日木拱,ri'mu'gong
日木合,ri'mu'he
日木六合,ri'mu'lu'he
日木三合日海合,ri'mu'san'he'ri'hai'he
日木刑,ri'mu'xing
日射手,ri'she'shou
日狮子,ri'shi'zi
日双鱼,ri'shuang'yu
日双子,ri'shuang'zi
日水冲,ri'shui'chong
日水拱,ri'shui'gong
日水合,ri'shui'he
日水六合,ri'shui'lu'he
日水瓶,ri'shui'ping
日水三合,ri'shui'san'he
日水刑,ri'shui'xing
日天冲,ri'tian'chong
日天拱,ri'tian'gong
日天合,ri'tian'he
日天六合,ri'tian'lu'he
日天枰,ri'tian'ping
日天三合,ri'tian'san'he
日天蝎,ri'tian'xie
日天刑,ri'tian'xing
日土冲,ri'tu'chong
日土拱,ri'tu'gong
日土合,ri'tu'he
日土六合,ri'tu'lu'he
日土三合,ri'tu'san'he
日土刑,ri'tu'xing
日月冲,ri'yue'chong
日月拱,ri'yue'gong
日月合,ri'yue'he
日月六合,ri'yue'lu'he
日月三合,ri'yue'san'he
日月刑,ri'yue'xing
如日中天,ru'ri'zhong'tian
三宫,san'gong
三宫宫头,san'gong'gong'tou
上升,shang'sheng
升白羊,sheng'bai'yang
升处女,sheng'chu'nv
升金牛,sheng'jin'niu
升巨蟹,sheng'ju'xie
升摩羯,sheng'mo'jie
升射手,sheng'she'shou
升狮子,sheng'shi'zi
升双鱼,sheng'shuang'yu
升双子,sheng'shuang'zi
升水瓶,sheng'shui'ping
升天枰,sheng'tian'ping
升天蝎,sheng'tian'xie
十二宫,shi'er'gong
十二宫宫头,shi'er'gong'gong'tou
十宫,shi'gong
十宫宫头,shi'gong'gong'tou
时空中点盘,shi'kong'zhong'dian'pan
十一宫,shi'yi'gong
十一宫宫头,shi'yi'gong'gong'tou
水白羊,shui'bai'yang
水处女,shui'chu'nv
水海冲,shui'hai'chong
水海拱,shui'hai'gong
水海合,shui'hai'he
水海六合,shui'hai'lu'he
水海三合,shui'hai'san'he
水海刑,shui'hai'xing
水火冲,shui'huo'chong
水火拱,shui'huo'gong
水火合,shui'huo'he
水火六合,shui'huo'lu'he
水火三合,shui'huo'san'he
水火刑,shui'huo'xing
水金牛,shui'jin'niu
水巨蟹,shui'ju'xie
水冥冲,shui'ming'chong
水冥拱,shui'ming'gong
水冥合,shui'ming'he
水冥六合,shui'ming'lu'he
水冥三合,shui'ming'san'he
水冥刑,shui'ming'xing
水摩羯,shui'mo'jie
水木冲,shui'mu'chong
水木拱,shui'mu'gong
水木合,shui'mu'he
水木六合,shui'mu'lu'he
水木三合,shui'mu'san'he
水木刑,shui'mu'xing
水射手,shui'she'shou
水狮子,shui'shi'zi
水双鱼,shui'shuang'yu
水双子,shui'shuang'zi
水水瓶,shui'shui'ping
水天冲,shui'tian'chong
水天拱,shui'tian'gong
水天合,shui'tian'he
水天六合,shui'tian'lu'he
水天枰,shui'tian'ping
水天三合,shui'tian'san'he
水天蝎,shui'tian'xie
水天刑,shui'tian'xing
水土冲,shui'tu'chong
水土拱,shui'tu'gong
水土合,shui'tu'he
水土六合,shui'tu'lu'he
水土三合,shui'tu'san'he
水土刑,shui'tu'xing
四宫,si'gong
四宫宫头,si'gong'gong'tou
宿命点,su'ming'dian
天地,tian'di
天底白羊,tian'di'bai'yang
天底处女,tian'di'chu'nv
天底金牛,tian'di'jin'niu
天底巨蟹,tian'di'ju'xie
天底摩羯,tian'di'mo'jie
天底射手,tian'di'she'shou
天底狮子,tian'di'shi'zi
天底双鱼,tian'di'shuang'yu
天底双子,tian'di'shuang'zi
天底水瓶,tian'di'shui'ping
天底天枰,tian'di'tian'ping
天底天蝎,tian'di'tian'xie
天顶,tian'ding
天顶白羊,tian'ding'bai'yang
天顶处女,tian'ding'chu'nv
天顶金牛,tian'ding'jin'niu
天顶巨蟹,tian'ding'ju'xie
天顶摩羯,tian'ding'mo'jie
天顶射手,tian'ding'she'shou
天顶狮子,tian'ding'shi'zi
天顶双鱼,tian'ding'shuang'yu
天顶双子,tian'ding'shuang'zi
天顶水瓶,tian'ding'shui'ping
天顶天枰,tian'ding'tian'ping
天顶天蝎,tian'ding'tian'xie
天王白羊,tian'wang'bai'yang
天王处女,tian'wang'chu'nv
天王金牛,tian'wang'jin'niu
天王巨蟹,tian'wang'ju'xie
天王摩羯,tian'wang'mo'jie
天王射手,tian'wang'she'shou
天王狮子,tian'wang'shi'zi
天王双鱼,tian'wang'shuang'yu
天王双子,tian'wang'shuang'zi
天王水瓶,tian'wang'shui'ping
天王天枰,tian'wang'tian'ping
天王天蝎,tian'wang'tian'xie
土白羊,tu'bai'yang
土处女,tu'chu'nv
土金牛,tu'jin'niu
土巨蟹,tu'ju'xie
土摩羯,tu'mo'jie
土射手,tu'she'shou
土狮子,tu'shi'zi
土双鱼,tu'shuang'yu
土双子,tu'shuang'zi
土水瓶,tu'shui'ping
土天枰,tu'tian'ping
土天蝎,tu'tian'xie
五宫,wu'gong
五宫宫头,wu'gong'gong'tou
下降,xia'jiang
下降白羊,xia'jiang'bai'yang
下降处女,xia'jiang'chu'nv
下降金牛,xia'jiang'jin'niu
下降巨蟹,xia'jiang'ju'xie
下降摩羯,xia'jiang'mo'jie
下降射手,xia'jiang'she'shou
下降狮子,xia'jiang'shi'zi
下降双鱼,xia'jiang'shuang'yu
下降双子,xia'jiang'shuang'zi
下降水瓶,xia'jiang'shui'ping
下降天枰,xia'jiang'tian'ping
下降天蝎,xia'jiang'tian'xie
月白羊,yue'bai'yang
月处女,yue'chu'nv
月海冲,yue'hai'chong
月海拱,yue'hai'gong
月海合,yue'hai'he
月海六合,yue'hai'lu'he
月海三合,yue'hai'san'he
月海刑,yue'hai'xing
月火冲,yue'huo'chong
月火拱,yue'huo'gong
月火合,yue'huo'he
月火六合,yue'huo'lu'he
月火三合,yue'huo'san'he
月火刑,yue'huo'xing
月金冲,yue'jin'chong
月金拱,yue'jin'gong
月金合,yue'jin'he
月金六合,yue'jin'lu'he
月金牛,yue'jin'niu
月金三合,yue'jin'san'he
月金刑,yue'jin'xing
月巨蟹,yue'ju'xie
月冥冲,yue'ming'chong
月冥拱,yue'ming'gong
月冥合,yue'ming'he
月冥六合,yue'ming'lu'he
月冥三合,yue'ming'san'he
月冥刑,yue'ming'xing
月摩羯,yue'mo'jie
月木冲,yue'mu'chong
月木拱,yue'mu'gong
月木合,yue'mu'he
月木六合,yue'mu'lu'he
月木三合,yue'mu'san'he
月木刑,yue'mu'xing
月射手,yue'she'shou
月狮子,yue'shi'zi
月双鱼,yue'shuang'yu
月双子,yue'shuang'zi
月水冲,yue'shui'chong
月水拱,yue'shui'gong
月水合,yue'shui'he
月水六合,yue'shui'lu'he
月水瓶,yue'shui'ping
月水三合,yue'shui'san'he
月水刑,yue'shui'xing
月天冲,yue'tian'chong
月天拱,yue'tian'gong
月天合,yue'tian'he
月天六合,yue'tian'lu'he
月天枰,yue'tian'ping
月天三合,yue'tian'san'he
月天蝎,yue'tian'xie
月天刑,yue'tian'xing
月土冲,yue'tu'chong
月土拱,yue'tu'gong
月土合,yue'tu'he
月土六合,yue'tu'lu'he
月土三合,yue'tu'san'he
月土刑,yue'tu'xing
灶神,zao'shen
灶神白羊,zao'shen'bai'yang
灶神处女,zao'shen'chu'nv
灶神金牛,zao'shen'jin'niu
灶神巨蟹,zao'shen'ju'xie
灶神摩羯,zao'shen'mo'jie
灶神射手,zao'shen'she'shou
灶神狮子,zao'shen'shi'zi
灶神双鱼,zao'shen'shuang'yu
灶神双子,zao'shen'shuang'zi
灶神水瓶,zao'shen'shui'ping
灶神天枰,zao'shen'tian'ping
灶神天蝎,zao'shen'tian'xie
灶神星,zao'shen'xing
智神,zhi'shen
智神白羊,zhi'shen'bai'yang
智神处女,zhi'shen'chu'nv
智神金牛,zhi'shen'jin'niu
智神巨蟹,zhi'shen'ju'xie
智神摩羯,zhi'shen'mo'jie
智神射手,zhi'shen'she'shou
智神狮子,zhi'shen'shi'zi
智神双鱼,zhi'shen'shuang'yu
智神双子,zhi'shen'shuang'zi
智神水瓶,zhi'shen'shui'ping
智神天枰,zhi'shen'tian'ping
智神天蝎,zhi'shen'tian'xie
智神星,zhi'shen'xing
中天,zhong'tian
宙斯,zhou'si
