按电钮点焊,an'dian'niu'dian'han
补强金属,bu'qiang'jin'shu
补强圈,bu'qiang'quan
补强式对接焊缝,bu'qiang'shi'dui'jie'han'feng
不熔化电极,bu'rong'hua'dian'ji
不熔化极电弧焊,bu'rong'hua'ji'dian'hu'han
不熔化极弧焊机,bu'rong'hua'ji'hu'han'ji
不同的焊接金属,bu'tong'de'han'jie'jin'shu
不同金属的焊接,bu'tong'jin'shu'de'han'jie
不锈电焊条,bu'xiu'dian'han'tiao
不锈钢电焊条,bu'xiu'gang'dian'han'tiao
不锈钢焊接,bu'xiu'gang'han'jie
不锈钢焊条,bu'xiu'gang'han'tiao
不锈钢焊条焊接,bu'xiu'gang'han'tiao'han'jie
不圆度,bu'yuan'du
布置图,bu'zhi'tu
材料合格证,cai'liao'he'ge'zheng
残余扩散氢,can'yu'kuo'san'qing
残余氢,can'yu'qing
残余应力测定,can'yu'ying'li'ce'ding
槽钢胀圈,cao'gang'zhang'quan
槽焊,cao'han
槽塞焊,cao'sai'han
操作工艺性,cao'zuo'gong'yi'xing
侧板条铁素体,ce'ban'tiao'tie'su'ti
侧边搭接焊,ce'bian'da'jie'han
侧搭焊,ce'da'han
侧焊,ce'han
侧焊缝,ce'han'feng
测井探头,ce'jing'tan'tou
测量方法,ce'liang'fang'fa
测量基准点,ce'liang'ji'zhun'dian
侧面搭接焊,ce'mian'da'jie'han
侧面焊缝,ce'mian'han'feng
侧面角焊,ce'mian'jiao'han
侧面角焊缝,ce'mian'jiao'han'feng
侧面填角焊,ce'mian'tian'jiao'han
侧面填角焊缝,ce'mian'tian'jiao'han'feng
侧面贴角焊,ce'mian'tie'jiao'han
测氢试验,ce'qing'shi'yan
侧弯试验,ce'wan'shi'yan
测温笔,ce'wen'bi
层间温度,ceng'jian'wen'du
层状偏析,ceng'zhuang'pian'xi
层状钎料,ceng'zhuang'qian'liao
层壮撕裂,ceng'zhuang'si'lie
层状撕裂,ceng'zhuang'si'lie
差激电焊发电机,cha'ji'dian'han'fa'dian'ji
插销试验,cha'xiao'shi'yan
柴油机驱动直流弧焊机,chai'you'ji'qu'dong'zhi'liu'hu'han'ji
铲边焊缝,chan'bian'han'feng
产品说明书,chan'pin'shuo'ming'shu
长方格贞咸布西式衬衫,chang'fang'ge'zhen'xian'bu'xi'shi'chen'shan
厂焊接头,chang'han'jie'tou
长孔焊,chang'kong'han
长筒皮靴,chang'tong'pi'xue
长网湿抄机,chang'wang'shi'chao'ji
常压热水锅炉,chang'ya're'shui'guo'lu
长渣,chang'zha
超超临界锅炉,chao'chao'lin'jie'guo'lu
超尺寸焊缝,chao'chi'cun'han'feng
超高速焊接,chao'gao'su'han'jie
超高压锅炉,chao'gao'ya'guo'lu
超临界压力锅炉,chao'lin'jie'ya'li'guo'lu
超强匹配接头,chao'qiang'pi'pei'jie'tou
超声波点焊,chao'sheng'bo'dian'han
超声波点焊机,chao'sheng'bo'dian'han'ji
超声波缝焊,chao'sheng'bo'feng'han
超声波缝焊机,chao'sheng'bo'feng'han'ji
超声波焊,chao'sheng'bo'han
超声波焊缝检查,chao'sheng'bo'han'feng'jian'cha
超声波焊接,chao'sheng'bo'han'jie
超声波焊接机,chao'sheng'bo'han'jie'ji
超声波金属焊接,chao'sheng'bo'jin'shu'han'jie
超声波钎焊,chao'sheng'bo'qian'han
超声波探伤,chao'sheng'bo'tan'shang
超声焊,chao'sheng'han
超声探伤,chao'sheng'tan'shang
超声遥焊,chao'sheng'yao'han
超塑成形扩散焊,chao'su'cheng'xing'kuo'san'han
车间焊接,che'jian'han'jie
车间中焊接,che'jian'zhong'han'jie
衬垫焊,chen'dian'han
沉淀脱氧,chen'dian'tuo'yang
衬环,chen'huan
沉积效率,chen'ji'xiao'lv
成凹陷焊缝,cheng'ao'xian'han'feng
承插焊接,cheng'cha'han'jie
承插焊接端,cheng'cha'han'jie'duan
承插焊接法兰,cheng'cha'han'jie'fa'lan
成排焊接,cheng'pai'han'jie
成排弯管,cheng'pai'wan'guan
成型焊管机,cheng'xing'han'guan'ji
成形零件堆焊,cheng'xing'ling'jian'dui'han
成形钎料,cheng'xing'qian'liao
程序点焊,cheng'xu'dian'han
程序焊接,cheng'xu'han'jie
程序控制器,cheng'xu'kong'zhi'qi
程序时间调节器,cheng'xu'shi'jian'tiao'jie'qi
承载焊缝,cheng'zai'han'feng
尺寸检验,chi'cun'jian'yan
重叠区,chong'die'qu
冲管,chong'guan
冲击点焊法,chong'ji'dian'han'fa
冲击电阻焊,chong'ji'dian'zu'han
冲击电阻焊接,chong'ji'dian'zu'han'jie
冲击焊,chong'ji'han
冲击焊法,chong'ji'han'fa
冲击焊缝,chong'ji'han'feng
冲击焊机,chong'ji'han'ji
冲击焊接,chong'ji'han'jie
冲模堆焊,chong'mu'dui'han
充气保养,chong'qi'bao'yang
充气室电弧焊,chong'qi'shi'dian'hu'han
充气式电弧焊,chong'qi'shi'dian'hu'han
冲器室中电弧焊,chong'qi'shi'zhong'dian'hu'han
充水试验,chong'shui'shi'yan
充填金属,chong'tian'jin'shu
冲压成型,chong'ya'cheng'xing
冲压焊接的,chong'ya'han'jie'de
抽头式焊机,chou'tou'shi'han'ji
除尘装置,chu'chen'zhuang'zhi
出流,chu'liu
储能焊,chu'neng'han
储能摩擦焊,chu'neng'mo'ca'han
初始参数,chu'shi'can'shu
初始扩散氢,chu'shi'kuo'san'qing
串点焊,chuan'dian'han
串焊,chuan'han
串级叠置法,chuan'ji'die'zhi'fa
串级叠置焊,chuan'ji'die'zhi'han
穿晶断口,chuan'jing'duan'kou
穿晶裂纹,chuan'jing'lie'wen
串联点焊,chuan'lian'dian'han
串联电弧焊接,chuan'lian'dian'hu'han'jie
串联缝焊,chuan'lian'feng'han
串联缝熔接,chuan'lian'feng'rong'jie
串联焊,chuan'lian'han
串联弧焊,chuan'lian'hu'han
串列多弧焊,chuan'lie'duo'hu'han
穿堂风,chuan'tang'feng
穿透型焊接法,chuan'tou'xing'han'jie'fa
船形焊,chuan'xing'han
船形角焊,chuan'xing'jiao'han
船用锅炉,chuan'yong'guo'lu
窗口拘束焊缝抗裂试验,chuang'kou'ju'shu'han'feng'kang'lie'shi'yan
窗形拘束抗裂试验,chuang'xing'ju'shu'kang'lie'shi'yan
锤锻电阻焊,chui'duan'dian'zu'han
吹管,chui'guan
吹管焊接,chui'guan'han'jie
锤焊,chui'han
吹灰,chui'hui
锤击,chui'ji
垂降特性弧焊电源,chui'jiang'te'xing'hu'han'dian'yuan
垂直焊,chui'zhi'han
垂直碰撞,chui'zhi'peng'zhuang
垂直切割,chui'zhi'qie'ge
垂直上升管屏,chui'zhi'shang'sheng'guan'ping
纯铝气焊条,chun'lv'qi'han'tiao
纯镍电焊条,chun'nie'dian'han'tiao
纯镍熔接条,chun'nie'rong'jie'tiao
纯镍铸铁焊条,chun'nie'zhu'tie'han'tiao
纯铁焊条,chun'tie'han'tiao
磁粉探伤,ci'fen'tan'shang
次级整流电阻焊机,ci'ji'zheng'liu'dian'zu'han'ji
磁控电弧,ci'kong'dian'hu
磁力焊接法,ci'li'han'jie'fa
磁力焊接机,ci'li'han'jie'ji
磁力夹紧器,ci'li'jia'jin'qi
磁力脉冲焊,ci'li'mai'chong'han
磁轮式气割机,ci'lun'shi'qi'ge'ji
磁偏吹,ci'pian'chui
磁推力电弧焊,ci'tui'li'dian'hu'han
磁性焊剂,ci'xing'han'ji
磁性焊剂电弧焊,ci'xing'han'ji'dian'hu'han
磁性焊剂二氧化碳保护焊,ci'xing'han'ji'er'yang'hua'tan'bao'hu'han
磁性焊剂气体保护电弧焊,ci'xing'han'ji'qi'ti'bao'hu'dian'hu'han
磁性焊剂气体保护焊,ci'xing'han'ji'qi'ti'bao'hu'han
丛聚焊缝,cong'ju'han'feng
粗滴过渡,cu'di'guo'du
粗电焊条,cu'dian'han'tiao
粗晶区,cu'jing'qu
粗丝,cu'si
脆性断,cui'xing'duan
脆性断口,cui'xing'duan'kou
脆性断裂,cui'xing'duan'lie
脆性温度区间,cui'xing'wen'du'qu'jian
错边,cuo'bian
错边变形,cuo'bian'bian'xing
错边量,cuo'bian'liang
错列布置管束,cuo'lie'bu'zhi'guan'shu
错列焊,cuo'lie'han
错列焊接,cuo'lie'han'jie
错综式间断角焊,cuo'zong'shi'jian'duan'jiao'han
搭板对接焊缝,da'ban'dui'jie'han'feng
打底焊,da'di'han
打底焊道,da'di'han'dao
打底焊条,da'di'han'tiao
大电流等离子弧焊,da'dian'liu'deng'li'zi'hu'han
大电流弧焊,da'dian'liu'hu'han
大断面焊接,da'duan'mian'han'jie
搭焊,da'han
搭焊管,da'han'guan
搭焊套管,da'han'tao'guan
搭角焊,da'jiao'han
搭接电阻焊,da'jie'dian'zu'han
搭接对接接头,da'jie'dui'jie'jie'tou
搭接缝焊,da'jie'feng'han
搭接焊,da'jie'han
搭接焊的,da'jie'han'de
搭接焊缝,da'jie'han'feng
搭接角焊,da'jie'jiao'han
搭接角焊缝,da'jie'jiao'han'feng
搭接接头,da'jie'jie'tou
搭接接头的,da'jie'jie'tou'de
搭接接头的正面角焊缝,da'jie'jie'tou'de'zheng'mian'jiao'han'feng
搭接宽度,da'jie'kuan'du
搭接形接头,da'jie'xing'jie'tou
大口径焊缝管,da'kou'jing'han'feng'guan
大气压电子束焊接,da'qi'ya'dian'zi'shu'han'jie
搭桥焊缝,da'qiao'han'feng
带板,dai'ban
带垫板,dai'dian'ban
带垫板形坡口,dai'dian'ban'xing'po'kou
带电容弧焊机,dai'dian'rong'hu'han'ji
带钝边,dai'dun'bian
带钝边双,dai'dun'bian'shuang
带钝边双形坡口,dai'dun'bian'shuang'xing'po'kou
带钝边形对接接头,dai'dun'bian'xing'dui'jie'jie'tou
带钝边形坡口,dai'dun'bian'xing'po'kou
带钝边形坡口接头,dai'dun'bian'xing'po'kou'jie'tou
带盖板焊缝,dai'gai'ban'han'feng
带高频电离的焊接装置,dai'gao'pin'dian'li'de'han'jie'zhuang'zhi
带焊接,dai'han'jie
带极堆焊,dai'ji'dui'han
带接合板点焊,dai'jie'he'ban'dian'han
带状对接缝焊机,dai'zhuang'dui'jie'feng'han'ji
单边多电极焊接,dan'bian'duo'dian'ji'han'jie
单边多极点焊,dan'bian'duo'ji'dian'han
单边多极滚焊,dan'bian'duo'ji'gun'han
单边多极凸焊,dan'bian'duo'ji'tu'han
单边角接焊缝,dan'bian'jiao'jie'han'feng
单边双电极焊缝,dan'bian'shuang'dian'ji'han'feng
单边形坡口,dan'bian'xing'po'kou
单玻璃焊工护目镜,dan'bo'li'han'gong'hu'mu'jing
单层焊,dan'ceng'han
单层焊缝,dan'ceng'han'feng
单搭接焊,dan'da'jie'han
单道焊,dan'dao'han
单点点焊,dan'dian'dian'han
单点焊,dan'dian'han
单工使用焊机,dan'gong'shi'yong'han'ji
单焊丝,dan'han'si
氮弧焊,dan'hu'han
单弧自动电焊机,dan'hu'zi'dong'dian'han'ji
单级减压器,dan'ji'jian'ya'qi
单机体电焊机组,dan'ji'ti'dian'han'ji'zu
单卷边角焊缝,dan'juan'bian'jiao'han'feng
单孔喷嘴,dan'kong'pen'zui
单脉冲焊,dan'mai'chong'han
单脉冲焊接,dan'mai'chong'han'jie
单面衬垫点焊,dan'mian'chen'dian'dian'han
单面搭板点焊,dan'mian'da'ban'dian'han
单面搭焊接,dan'mian'da'han'jie
单面点焊,dan'mian'dian'han
单面多点点焊,dan'mian'duo'dian'dian'han
单面多极滚焊,dan'mian'duo'ji'gun'han
单面复合形坡口,dan'mian'fu'he'xing'po'kou
单面盖板对接焊,dan'mian'gai'ban'dui'jie'han
单面焊,dan'mian'han
单面焊搭接接头,dan'mian'han'da'jie'jie'tou
单面焊的搭接接头,dan'mian'han'de'da'jie'jie'tou
单面焊对接接头,dan'mian'han'dui'jie'jie'tou
单面焊缝,dan'mian'han'feng
单面焊接,dan'mian'han'jie
单面焊接头,dan'mian'han'jie'tou
单面焊双面成形,dan'mian'han'shuang'mian'cheng'xing
单面坡口,dan'mian'po'kou
单面填角焊缝,dan'mian'tian'jiao'han'feng
单面形焊接,dan'mian'xing'han'jie
单面氩弧点焊机,dan'mian'ya'hu'dian'han'ji
单人电焊机,dan'ren'dian'han'ji
单头焊,dan'tou'han
单线,dan'xian
单线图,dan'xian'tu
单斜角槽焊,dan'xie'jiao'cao'han
单行点焊,dan'xing'dian'han
单站电焊发动机,dan'zhan'dian'han'fa'dong'ji
单站焊机,dan'zhan'han'ji
单站弧焊机,dan'zhan'hu'han'ji
导电咀,dao'dian'ju
导电系数,dao'dian'xi'shu
导电嘴,dao'dian'zui
导流系数,dao'liu'xi'shu
导向自动焊接,dao'xiang'zi'dong'han'jie
刀状腐蚀,dao'zhuang'fu'shi
德国焊接技术协会,de'guo'han'jie'ji'shu'xie'hui
德龙组织图,de'long'zu'zhi'tu
等分线,deng'fen'xian
等离子电弧焊,deng'li'zi'dian'hu'han
等离子焊,deng'li'zi'han
等离子焊炬,deng'li'zi'han'ju
等离子弧,deng'li'zi'hu
等离子弧堆焊,deng'li'zi'hu'dui'han
等离子弧焊,deng'li'zi'hu'han
等离子弧焊机,deng'li'zi'hu'han'ji
等离子弧焊接,deng'li'zi'hu'han'jie
等离子弧焊抢,deng'li'zi'hu'han'qiang
等离子弧焊枪,deng'li'zi'hu'han'qiang
等离子弧喷涂,deng'li'zi'hu'pen'tu
等离子弧切割,deng'li'zi'hu'qie'ge
等离子流,deng'li'zi'liu
等离子喷涂,deng'li'zi'pen'tu
等离子气,deng'li'zi'qi
等离子切割,deng'li'zi'qie'ge
等离子熔化极气体保护焊,deng'li'zi'rong'hua'ji'qi'ti'bao'hu'han
等离子氩弧焊接机,deng'li'zi'ya'hu'han'jie'ji
等强焊缝,deng'qiang'han'feng
等强匹配接头,deng'qiang'pi'pei'jie'tou
等速送丝方式,deng'su'song'si'fang'shi
等速送丝机构,deng'su'song'si'ji'gou
等压式焊炬,deng'ya'shi'han'ju
底边无缝焊,di'bian'wu'feng'han
底层焊接,di'ceng'han'jie
低层焊条,di'ceng'han'tiao
底层焊条,di'ceng'han'tiao
低尘低毒焊条,di'chen'di'du'han'tiao
低氮氧化物燃烧器,di'dan'yang'hua'wu'ran'shao'qi
低毒焊剂,di'du'han'ji
底焊,di'han
底焊焊缝,di'han'han'feng
低合金钢,di'he'jin'gang
低合金钢管,di'he'jin'gang'guan
低合金钢焊条,di'he'jin'gang'han'tiao
低角度式焊接,di'jiao'du'shi'han'jie
低空载电压的弧焊电源,di'kong'zai'dian'ya'de'hu'han'dian'yuan
低频电阻焊机,di'pin'dian'zu'han'ji
底坡口,di'po'kou
低强匹配接头,di'qiang'pi'pei'jie'tou
底切焊接,di'qie'han'jie
低氢型电焊条,di'qing'xing'dian'han'tiao
低氢型焊剂,di'qing'xing'han'ji
低氢型焊条,di'qing'xing'han'tiao
底圈,di'quan
低碳钢电焊条,di'tan'gang'dian'han'tiao
低碳钢焊丝,di'tan'gang'han'si
低碳钢焊条,di'tan'gang'han'tiao
低碳焊接线材,di'tan'han'jie'xian'cai
低温钢焊条,di'wen'gang'han'tiao
低温焊,di'wen'han
低温焊接,di'wen'han'jie
地线夹头,di'xian'jia'tou
低循环倍率锅炉,di'xun'huan'bei'lv'guo'lu
低压锅炉,di'ya'guo'lu
低压焊炬,di'ya'han'ju
低压式焊炬,di'ya'shi'han'ju
低压乙炔发生器,di'ya'yi'que'fa'sheng'qi
低真空电子束焊机,di'zhen'kong'dian'zi'shu'han'ji
低置水位计,di'zhi'shui'wei'ji
垫板焊,dian'ban'han
电冲击焊,dian'chong'ji'han
电磁冲击焊,dian'ci'chong'ji'han
电磁储能焊,dian'ci'chu'neng'han
电磁法探伤,dian'ci'fa'tan'shang
电磁焊,dian'ci'han
电磁控制式安全阀,dian'ci'kong'zhi'shi'an'quan'fa
电磁力,dian'ci'li
电磁脉冲自动焊机,dian'ci'mai'chong'zi'dong'han'ji
电磁平台,dian'ci'ping'tai
电磁收缩效应,dian'ci'shou'suo'xiao'ying
电磁探伤,dian'ci'tan'shang
电磁透镜,dian'ci'tou'jing
电磁渣焊,dian'ci'zha'han
电点焊,dian'dian'han
点定焊,dian'ding'han
电动焊机,dian'dong'han'ji
电动焊接发电机,dian'dong'han'jie'fa'dian'ji
电动机驱动式弧焊机,dian'dong'ji'qu'dong'shi'hu'han'ji
电动机拖动式焊机,dian'dong'ji'tuo'dong'shi'han'ji
电动旋转式电焊机,dian'dong'xuan'zhuan'shi'dian'han'ji
电动旋转式焊机,dian'dong'xuan'zhuan'shi'han'ji
电动直流发电焊接设备,dian'dong'zhi'liu'fa'dian'han'jie'she'bei
垫缝焊接,dian'feng'han'jie
点固焊,dian'gu'han
点固焊点,dian'gu'han'dian
电光性皮炎,dian'guang'xing'pi'yan
电光性眼炎,dian'guang'xing'yan'yan
电焊变压器,dian'han'bian'ya'qi
电焊厂,dian'han'chang
电焊车间,dian'han'che'jian
电焊锤,dian'han'chui
电焊地线,dian'han'di'xian
点焊点,dian'han'dian
点焊电极,dian'han'dian'ji
电焊电缆,dian'han'dian'lan
点焊对焊两用机,dian'han'dui'han'liang'yong'ji
电焊发电机,dian'han'fa'dian'ji
点焊缝,dian'han'feng
电焊钢管,dian'han'gang'guan
电焊工,dian'han'gong
电焊工尘肺,dian'han'gong'chen'fei
电焊工的长手套,dian'han'gong'de'chang'shou'tao
电焊工具,dian'han'gong'ju
电焊工手套,dian'han'gong'shou'tao
电焊管,dian'han'guan
电焊管机,dian'han'guan'ji
点焊焊点,dian'han'han'dian
点焊焊枪,dian'han'han'qiang
点焊机,dian'han'ji
电焊机接线端,dian'han'ji'jie'xian'duan
电焊机接线端子,dian'han'ji'jie'xian'duan'zi
点焊机器人,dian'han'ji'qi'ren
点焊夹具,dian'han'jia'ju
电焊夹头,dian'han'jia'tou
点焊接,dian'han'jie
电焊接触器,dian'han'jie'chu'qi
点焊接头,dian'han'jie'tou
电焊脉冲,dian'han'mai'chong
电焊帽,dian'han'mao
电焊锚链,dian'han'mao'lian
电焊片,dian'han'pian
点焊钳,dian'han'qian
电焊钳,dian'han'qian
点焊枪,dian'han'qiang
点焊熔核,dian'han'rong'he
电焊软线,dian'han'ruan'xian
电焊设备,dian'han'she'bei
电焊条,dian'han'tiao
电焊调节器,dian'han'tiao'jie'qi
电焊条生产线,dian'han'tiao'sheng'chan'xian
电焊条自动烘焙线,dian'han'tiao'zi'dong'hong'bei'xian
电焊网,dian'han'wang
电焊眼罩,dian'han'yan'zhao
电焊引线,dian'han'yin'xian
点焊用密封材料,dian'han'yong'mi'feng'cai'liao
电焊渣,dian'han'zha
电焊遮光罩,dian'han'zhe'guang'zhao
电焊整流器,dian'han'zheng'liu'qi
电焊装置,dian'han'zhuang'zhi
电弧刨削,dian'hu'bao'xue
电弧擦伤,dian'hu'ca'shang
电弧点焊,dian'hu'dian'han
电弧电压,dian'hu'dian'ya
电弧动特性,dian'hu'dong'te'xing
电弧堆焊,dian'hu'dui'han
电弧缝焊,dian'hu'feng'han
电弧焊,dian'hu'han
电弧焊机,dian'hu'han'ji
电弧焊机组,dian'hu'han'ji'zu
电弧焊接,dian'hu'han'jie
电弧焊接发电机,dian'hu'han'jie'fa'dian'ji
电弧焊接钢管,dian'hu'han'jie'gang'guan
电弧焊接工艺过程,dian'hu'han'jie'gong'yi'guo'cheng
电弧焊接用发电机,dian'hu'han'jie'yong'fa'dian'ji
电弧焊设备,dian'hu'han'she'bei
电弧焊条,dian'hu'han'tiao
电弧焊用焊条,dian'hu'han'yong'han'tiao
电弧焊遮罩,dian'hu'han'zhe'zhao
电弧静特性,dian'hu'jing'te'xing
电弧空腔,dian'hu'kong'qiang
电弧力,dian'hu'li
电弧喷涂,dian'hu'pen'tu
电弧偏吹,dian'hu'pian'chui
电弧漂移,dian'hu'piao'yi
电弧飘移,dian'hu'piao'yi
电弧气刨,dian'hu'qi'bao
电弧气氛,dian'hu'qi'fen
电弧钎焊,dian'hu'qian'han
电弧切割,dian'hu'qie'ge
电弧闪光焊,dian'hu'shan'guang'han
电弧挺度,dian'hu'ting'du
电弧弯曲,dian'hu'wan'qu
电弧稳定性,dian'hu'wen'ding'xing
电弧物理行为,dian'hu'wu'li'xing'wei
电弧形态,dian'hu'xing'tai
电弧氧乙炔焊,dian'hu'yang'yi'que'han
电弧自身调节,dian'hu'zi'shen'tiao'jie
电弧紫外线灼伤,dian'hu'zi'wai'xian'zhuo'shang
点火程序控制装置,dian'huo'cheng'xu'kong'zhi'zhuang'zhi
电火花拉毛,dian'huo'hua'la'mao
点火装置,dian'huo'zhuang'zhi
电极臂,dian'ji'bi
电极臂伸长度,dian'ji'bi'shen'chang'du
电极臂伸出长度,dian'ji'bi'shen'chu'chang'du
电极工作端,dian'ji'gong'zuo'duan
