吖嘛,a'ma
穷到出汁,qiong'dao'chu'zhi
穷到窿,qiong'dao'long
求祈,qiu'qi
佢哋,qu'di
忍唔住,ren'wu'zhu
塞紧车,sai'jin'che
傻更更,sha'geng'geng
傻佬,sha'lao
傻閪痴痴,sha'se'chi'chi
晒冷,shai'leng
捨得,she'de
神神哋,shen'shen'di
生人唔生膽,sheng'ren'wu'sheng'dan
事但,shi'dan
识得,shi'de
食得啦,shi'de'la
蚀底,shi'di
食饭,shi'fan
屎忽,shi'hu
屎忽鬼,shi'hu'gui
屎溃,shi'kui
使乜,shi'mie
食咩啊,shi'mie'a
驶人唔驶本,shi'ren'wu'shi'ben
食死猫,shi'si'mao
食碗面反碗底,shi'wan'mian'fan'wan'di
食唔落,shi'wu'luo
驶唔驶,shi'wu'shi
湿滞,shi'zhi
识做,shi'zuo
食咗饭未啊,shi'zuo'fan'wei'a
收嗲,shou'dia
手紧,shou'jin
收皮,shou'pi
闩门,shuan'men
死雞撐飯蓋,si'ji'cheng'fan'ge
死牛一边颈,si'niu'yi'bian'jing
死蛇烂鳝,si'she'lan'shan
缩骨,suo'gu
索油,suo'you
腾鸡,teng'ji
踢晒脚,ti'shai'jiao
听日,ting'ri
同埋,tong'mai
偷呃拐骗,tou'e'guai'pian
玩嘢,wan'ye
未得住,wei'de'zhu
未返到,wei'fan'dao
未有咁快住,wei'you'gan'kuai'zhu
搵工,wen'gong
搵钱,wen'qian
搵人,wen'ren
瘟瘟噔噔,wen'wen'deng'deng
搵嘢,wen'ye
我哋,wo'di
唔睬你,wu'cai'ni
唔得闲,wu'de'xian
唔愤气,wu'fen'qi
唔使,wu'shi
唔识,wu'shi
唔係,wu'xi
唔係掛,wu'xi'gua
唔信,wu'xin
唔啱,wu'yan
唔啱数,wu'yan'shu
唔知想点,wu'zhi'xiang'dian
唔钟意,wu'zhong'yi
喺边啊,xi'bian'a
噏得就噏,xi'de'jiu'xi
喺度,xi'du
戏飞,xi'fei
细佬,xi'lao
细妹,xi'mei
係咪,xi'mi
锡锡,xi'xi
呷醋,xia'cu
闲闲哋,xian'xian'di
咸鱼翻身,xian'yu'fan'shen
泄埋,xie'mai
泄晒,xie'shai
新嚟新猪肉,xin'li'xin'zhu'rou
行差搭错,xing'cha'da'cuo
型到跌渣,xing'dao'die'zha
行得未啊,xing'de'wei'a
行街,xing'jie
墟冚,xu'kan
寻日,xun'ri
寻晚,xun'wan
牙烟,ya'yan
眼瞓,yan'fen
啱瞓醒,yan'fen'xing
啱晒,yan'shai
啱先,yan'xian
啱啱,yan'yan
晏骤,yan'zhou
一啲啲,yi'di'di
一旧云,yi'jiu'yun
一身蚁,yi'shen'yi
意头,yi'tou
饮到汤,yin'dao'tang
硬颈,ying'jing
有冇,you'mao
有冇搞错,you'mao'gao'cuo
有排,you'pai
又係喔,you'xi'wo
预埋你果份,yu'mai'ni'guo'fen
运桔,yun'ju
运滞,yun'zhi
咋嘛,za'ma
早抖,zao'dou
揸拿,zha'na
揸住,zha'zhu
盏鬼,zhan'gui
着数,zhao'shu
朝早,zhao'zao
着草,zhe'cao
争咁远,zheng'gan'yuan
仲有,zhong'you
周身唔聚财,zhou'shen'wu'ju'cai
煮饭,zhu'fan
撞到正,zhuang'dao'zheng
走鸡,zou'ji
走佬,zou'lao
做紧咩,zuo'jin'mie
