病毒学报,bing'du'xue'bao
兵工学报,bing'gong'xue'bao
材料研究学报,cai'liao'yan'jiu'xue'bao
财贸研究,cai'mao'yan'jiu
测绘学报,ce'hui'xue'bao
大气科学,da'qi'ke'xue
当代世界与社会主义,dang'dai'shi'jie'yu'she'hui'zhu'yi
地理学报,di'li'xue'bao
地理研究,di'li'yan'jiu
地球物理学报,di'qiu'wu'li'xue'bao
地质论评,di'zhi'lun'ping
地质学报,di'zhi'xue'bao
电工技术学报,dian'gong'ji'shu'xue'bao
电子学报,dian'zi'xue'bao
动力工程,dong'li'gong'cheng
动物学报,dong'wu'xue'bao
法学家,fa'xue'jia
法学研究,fa'xue'yan'jiu
改革,gai'ge
高等学校化学学报,gao'deng'xue'xiao'hua'xue'xue'bao
工程热物理学报,gong'cheng're'wu'li'xue'bao
古籍整理委员会,gu'ji'zheng'li'wei'yuan'hui
古委会,gu'wei'hui
管理科学学报,guan'li'ke'xue'xue'bao
管理世界,guan'li'shi'jie
光学学报,guang'xue'xue'bao
规划办,gui'hua'ban
国家社科基金,guo'jia'she'ke'ji'jin
海洋学报,hai'yang'xue'bao
海洋与湖沼,hai'yang'yu'hu'zhao
华东师范大学学报,hua'dong'shi'fan'da'xue'xue'bao
化工学报,hua'gong'xue'bao
化学通报,hua'xue'tong'bao
化学学报,hua'xue'xue'bao
环境科学,huan'jing'ke'xue
计算机学报,ji'suan'ji'xue'bao
计算数学,ji'suan'shu'xue
机械工程学报,ji'xie'gong'cheng'xue'bao
江海学刊,jiang'hai'xue'kan
江苏社会科学,jiang'su'she'hui'ke'xue
教科所,jiao'ke'suo
教育部,jiao'yu'bu
教育科学版,jiao'yu'ke'xue'ban
教育科学研究所,jiao'yu'ke'xue'yan'jiu'suo
教育厅,jiao'yu'ting
教育研究,jiao'yu'yan'jiu
教育研究与实验,jiao'yu'yan'jiu'yu'shi'yan
金融研究,jin'rong'yan'jiu
金属学报,jin'shu'xue'bao
经济学动态,jing'ji'xue'dong'tai
经济研究,jing'ji'yan'jiu
考古,kao'gu
科技厅,ke'ji'ting
科学通报,ke'xue'tong'bao
控制理论及应用,kong'zhi'li'lun'ji'ying'yong
理论处,li'lun'chu
历史研究,li'shi'yan'jiu
林业科学,lin'ye'ke'xue
伦理学研究,lun'li'xue'yan'jiu
马克思主义研究,ma'ke'si'zhu'yi'yan'jiu
美术,mei'shu
民族研究,min'zu'yan'jiu
农业经济问题,nong'ye'jing'ji'wen'ti
全国哲学社会科学规划办公室,quan'guo'zhe'xue'she'hui'ke'xue'gui'hua'ban'gong'shi
社会科学,she'hui'ke'xue
社会科学战线,she'hui'ke'xue'zhan'xian
社会学研究,she'hui'xue'yan'jiu
社科院,she'ke'yuan
生态学报,sheng'tai'xue'bao
生物化学与生物物理学报,sheng'wu'hua'xue'yu'sheng'wu'wu'li'xue'bao
省哲学社会科学规划办公室,sheng'zhe'xue'she'hui'ke'xue'gui'hua'ban'gong'shi
食品科学,shi'pin'ke'xue
石油学报,shi'you'xue'bao
数学学报,shu'xue'xue'bao
水产学报,shui'chan'xue'bao
水利学报,shui'li'xue'bao
体育科学,ti'yu'ke'xue
体育与科学,ti'yu'yu'ke'xue
天文学报,tian'wen'xue'bao
通信学报,tong'xin'xue'bao
土木工程学报,tu'mu'gong'cheng'xue'bao
外国文学评论,wai'guo'wen'xue'ping'lun
外国语,wai'guo'yu
外语教学与研究,wai'yu'jiao'xue'yu'yan'jiu
微生物学报,wei'sheng'wu'xue'bao
文史,wen'shi
文史哲,wen'shi'zhe
文学评论,wen'xue'ping'lun
文艺研究,wen'yi'yan'jiu
物理学报,wu'li'xue'bao
物理学进展,wu'li'xue'jin'zhan
新华文摘,xin'hua'wen'zhai
心理学报,xin'li'xue'bao
新闻与传播研究,xin'wen'yu'chuan'bo'yan'jiu
畜牧兽医学报,xu'mu'shou'yi'xue'bao
药学学报,yao'xue'xue'bao
遗传学报,yi'chuan'xue'bao
仪器仪表学报,yi'qi'yi'biao'xue'bao
应用化学,ying'yong'hua'xue
园艺学报,yuan'yi'xue'bao
战略与管理,zhan'lue'yu'guan'li
哲学研究,zhe'xue'yan'jiu
政治学研究,zheng'zhi'xue'yan'jiu
植物学报,zhi'wu'xue'bao
中国边疆史地研究,zhong'guo'bian'jiang'shi'di'yan'jiu
中国电机工程学报,zhong'guo'dian'ji'gong'cheng'xue'bao
中国法学,zhong'guo'fa'xue
中国工业经济,zhong'guo'gong'ye'jing'ji
中国经济史研究,zhong'guo'jing'ji'shi'yan'jiu
中国科学,zhong'guo'ke'xue
中国农业科学,zhong'guo'nong'ye'ke'xue
中国软科学,zhong'guo'ruan'ke'xue
中国社会科学,zhong'guo'she'hui'ke'xue
中国社会科学文摘,zhong'guo'she'hui'ke'xue'wen'zhai
中国图书馆学报,zhong'guo'tu'shu'guan'xue'bao
中国行政管理,zhong'guo'xing'zheng'guan'li
中国音乐学,zhong'guo'yin'yue'xue
中国语文,zhong'guo'yu'wen
中华医学杂志,zhong'hua'yi'xue'za'zhi
中华肿瘤杂志,zhong'hua'zhong'liu'za'zhi
中外法学,zhong'wai'fa'xue
中医杂志,zhong'yi'za'zhi
自动化学报,zi'dong'hua'xue'bao
自然辩证法研究,zi'ran'bian'zheng'fa'yan'jiu
自然科学进展,zi'ran'ke'xue'jin'zhan
自然资源学报,zi'ran'zi'yuan'xue'bao
作物学报,zuo'wu'xue'bao
