爱周中学,ai'zhou'zhong'xue
奥威制冷公司,ao'wei'zhi'leng'gong'si
佰大食品公司,bai'da'shi'pin'gong'si
百蓬东路口,bai'peng'dong'lu'kou
百儒村,bai'ru'cun
百园路,bai'yuan'lu
宝满村,bao'man'cun
宝满加油站,bao'man'jia'you'zhan
宝满市场,bao'man'shi'chang
保养场,bao'yang'chang
北桥市场,bei'qiao'shi'chang
北山路口,bei'shan'lu'kou
北月村,bei'yue'cun
北月汽修厂,bei'yue'qi'xiu'chang
北站路东,bei'zhan'lu'dong
北站路西,bei'zhan'lu'xi
北站路中,bei'zhan'lu'zhong
部队二号门,bu'dui'er'hao'men
部队加气站,bu'dui'jia'qi'zhan
部队加油站,bu'dui'jia'you'zhan
部队四号门,bu'dui'si'hao'men
部队一号门,bu'dui'yi'hao'men
财贸学校,cai'mao'xue'xiao
草苏学校,cao'su'xue'xiao
岑擎村,cen'qing'cun
昌大昌,chang'da'chang
畅侃村,chang'kan'cun
潮州塘,chao'zhou'tang
潮州塘公交站,chao'zhou'tang'gong'jiao'zhan
陈村仔,chen'cun'zai
晨光小学,chen'guang'xiao'xue
陈铁村,chen'tie'cun
陈屋村,chen'wu'cun
程村,cheng'cun
城市广场,cheng'shi'guang'chang
城市假日,cheng'shi'jia'ri
赤坎区地税局,chi'kan'qu'di'shui'ju
赤坎区法院,chi'kan'qu'fa'yuan
赤坎糖厂,chi'kan'tang'chang
赤坎游泳场,chi'kan'you'yong'chang
赤岭,chi'ling
赤路,chi'lu
赤邱村,chi'qiu'cun
创新路,chuang'xin'lu
创业路,chuang'ye'lu
翠绿花园,cui'lv'hua'yuan
寸宝路口,cun'bao'lu'kou
寸金公交站,cun'jin'gong'jiao'zhan
寸金公园,cun'jin'gong'yuan
大埠村,da'bu'cun
大德路,da'de'lu
大德路中,da'de'lu'zhong
大桥收费站,da'qiao'shou'fei'zhan
第三人民医院,di'san'ren'min'yi'yuan
电视大学,dian'shi'da'xue
东纯村,dong'chun'cun
东大医院,dong'da'yi'yuan
东方剑麻,dong'fang'jian'ma
东风市场,dong'feng'shi'chang
东南码头,dong'nan'ma'tou
东坡荔枝园,dong'po'li'zhi'yuan
东坡岭,dong'po'ling
东坡岭路口,dong'po'ling'lu'kou
东桥,dong'qiao
东山村,dong'shan'cun
东山小学,dong'shan'xiao'xue
东山镇,dong'shan'zhen
东田村,dong'tian'cun
东新福居,dong'xin'fu'ju
东新路口,dong'xin'lu'kou
东兴炼油厂,dong'xing'lian'you'chang
东园路,dong'yuan'lu
儿童公园,er'tong'gong'yuan
二中新校区,er'zhong'xin'xiao'qu
方兴村,fang'xing'cun
冯村,feng'cun
冯家塘村,feng'jia'tang'cun
福建村,fu'jian'cun
福民路西,fu'min'lu'xi
福民路中,fu'min'lu'zhong
附属医院,fu'shu'yi'yuan
符竹村,fu'zhu'cun
甘机厂,gan'ji'chang
干休所,gan'xiu'suo
港区医院,gang'qu'yi'yuan
港务局,gang'wu'ju
供电大厦,gong'dian'da'sha
公路处,gong'lu'chu
工农东二路西,gong'nong'dong'er'lu'xi
工农路,gong'nong'lu
工农市场,gong'nong'shi'chang
拱桥,gong'qiao
沟尾村,gou'wei'cun
观海北路中,guan'hai'bei'lu'zhong
观海路北,guan'hai'lu'bei
观海路中,guan'hai'lu'zhong
冠豪高新,guan'hao'gao'xin
广湛路口,guang'zhan'lu'kou
桂兴油脂,gui'xing'you'zhi
国防大厦,guo'fang'da'sha
国联水产公司,guo'lian'shui'chan'gong'si
国贸大厦,guo'mao'da'sha
海滨宾馆,hai'bin'bin'guan
海滨村,hai'bin'cun
海滨东二路,hai'bin'dong'er'lu
海滨东四路,hai'bin'dong'si'lu
海滨东一路西,hai'bin'dong'yi'lu'xi
海滨东一路中,hai'bin'dong'yi'lu'zhong
海滨码头,hai'bin'ma'tou
海滨学院,hai'bin'xue'yuan
海昌北横路,hai'chang'bei'heng'lu
海大寸金学院,hai'da'cun'jin'xue'yuan
海淀路,hai'dian'lu
海东中学,hai'dong'zhong'xue
海关缉私局,hai'guan'ji'si'ju
海关楼,hai'guan'lou
海景市场,hai'jing'shi'chang
海宁小区,hai'ning'xiao'qu
海上城市,hai'shang'cheng'shi
海市山庄,hai'shi'shan'zhuang
海棠路北,hai'tang'lu'bei
海棠路南,hai'tang'lu'nan
海田车站,hai'tian'che'zhan
海田东二路,hai'tian'dong'er'lu
海田西二路,hai'tian'xi'er'lu
海头,hai'tou
海头二中,hai'tou'er'zhong
海湾宾馆,hai'wan'bin'guan
海湾大桥西,hai'wan'da'qiao'xi
海尾村,hai'wei'cun
海新钢材市场,hai'xin'gang'cai'shi'chang
海洋大学,hai'yang'da'xue
海洋大学路口,hai'yang'da'xue'lu'kou
荷花村,he'hua'cun
荷花西路,he'hua'xi'lu
合力塑料公司,he'li'su'liao'gong'si
合流,he'liu
和平路北,he'ping'lu'bei
和平路南,he'ping'lu'nan
合众公司,he'zhong'gong'si
恒兴包装公司,heng'xing'bao'zhuang'gong'si
恒兴总公司,heng'xing'zong'gong'si
红树林会馆,hong'shu'lin'hui'guan
厚高村,hou'gao'cun
后湖村,hou'hu'cun
湖光路口,hu'guang'lu'kou
湖光岩东门,hu'guang'yan'dong'men
湖光岩西门,hu'guang'yan'xi'men
花村,hua'cun
化肥厂,hua'fei'chang
化工厂,hua'gong'chang
花圃,hua'pu
华盛新城,hua'sheng'xin'cheng
华威饼干厂,hua'wei'bing'gan'chang
环球酒店,huan'qiu'jiu'dian
黄村,huang'cun
皇冠假日酒店,huang'guan'jia'ri'jiu'dian
黄略路口,huang'lue'lu'kou
黄屋,huang'wu
回龙村,hui'long'cun
会展中心,hui'zhan'zhong'xin
火车南站,huo'che'nan'zhan
火车西站,huo'che'xi'zhan
机场路口,ji'chang'lu'kou
机电市场,ji'dian'shi'chang
机电学校,ji'dian'xue'xiao
技师学院,ji'shi'xue'yuan
吉祥路,ji'xiang'lu
嘉信茂广场,jia'xin'mao'guang'chang
建材批发市场,jian'cai'pi'fa'shi'chang
建设管庄公司,jian'she'guan'zhuang'gong'si
建设路中,jian'she'lu'zhong
建新东路,jian'xin'dong'lu
建新西路,jian'xin'xi'lu
尖嘴岭村,jian'zui'ling'cun
江门坡,jiang'men'po
交警大楼,jiao'jing'da'lou
教培车站,jiao'pei'che'zhan
脚踏村,jiao'ta'cun
交通局,jiao'tong'ju
金城社区,jin'cheng'she'qu
金城一横路,jin'cheng'yi'heng'lu
金川路口,jin'chuan'lu'kou
金地集团,jin'di'ji'tuan
金纺服装城,jin'fang'fu'zhuang'cheng
巾帼水产公司,jin'guo'shui'chan'gong'si
金海度假村,jin'hai'du'jia'cun
金海湾,jin'hai'wan
金康东路,jin'kang'dong'lu
金鹿园,jin'lu'yuan
金沙湾观海长廊,jin'sha'wan'guan'hai'chang'lang
金沙湾路口,jin'sha'wan'lu'kou
金沙湾沙滩泳场,jin'sha'wan'sha'tan'yong'chang
金沙湾小区,jin'sha'wan'xiao'qu
金沙湾游泳场,jin'sha'wan'you'yong'chang
金兴村,jin'xing'cun
锦绣华景,jin'xiu'hua'jing
金园路北,jin'yuan'lu'bei
金园路南,jin'yuan'lu'nan
金园路中,jin'yuan'lu'zhong
井头村,jing'tou'cun
迥龙村路口,jiong'long'cun'lu'kou
九二一路东,jiu'er'yi'lu'dong
九二一路中,jiu'er'yi'lu'zhong
俱乐部,ju'le'bu
卷烟厂,juan'yan'chang
军分区,jun'fen'qu
凯德广场,kai'de'guang'chang
开发区财政局,kai'fa'qu'cai'zheng'ju
开发区管委会,kai'fa'qu'guan'wei'hui
康宁加油站,kang'ning'jia'you'zhan
康琦赛公交站,kang'qi'sai'gong'jiao'zhan
康强路东,kang'qiang'lu'dong
康强一横路北,kang'qiang'yi'heng'lu'bei
康强一横路南,kang'qiang'yi'heng'lu'nan
康顺大厦,kang'shun'da'sha
客初村,ke'chu'cun
客初农场,ke'chu'nong'chang
可口可乐公司,ke'kou'ke'le'gong'si
兰石镇,lan'shi'zhen
劳动北路,lao'dong'bei'lu
劳动路,lao'dong'lu
劳动路北,lao'dong'lu'bei
李西村,li'xi'cun
良丰村,liang'feng'cun
料村,liao'cun
林场,lin'chang
临东村,lin'dong'cun
临东水厂,lin'dong'shui'chang
林口村,lin'kou'cun
林屋村,lin'wu'cun
临西村,lin'xi'cun
岭南路东,ling'nan'lu'dong
岭南路西,ling'nan'lu'xi
龙潮村,long'chao'cun
龙划村,long'hua'cun
楼下村路口,lou'xia'cun'lu'kou
绿林路,lu'lin'lu
菉塘,lu'tang
鹿渚村,lu'zhu'cun
绿村路口,lv'cun'lu'kou
绿华中路,lv'hua'zhong'lu
绿华装饰市场,lv'hua'zhuang'shi'shi'chang
绿亭路口,lv'ting'lu'kou
绿亭路南,lv'ting'lu'nan
旅行社,lv'xing'she
麻贯路口,ma'guan'lu'kou
麻坡路口,ma'po'lu'kou
麻遂路,ma'sui'lu
麻霞路口,ma'xia'lu'kou
麻斜,ma'xie
麻斜渡口,ma'xie'du'kou
麻瑶,ma'yao
麻章车站,ma'zhang'che'zhan
麻章公安分局,ma'zhang'gong'an'fen'ju
麻章工业园路口,ma'zhang'gong'ye'yuan'lu'kou
麻章路口,ma'zhang'lu'kou
麻章区政府,ma'zhang'qu'zheng'fu
麻章市场,ma'zhang'shi'chang
麻章食品批发市场,ma'zhang'shi'pin'pi'fa'shi'chang
麻章圩,ma'zhang'xu
麻章一中,ma'zhang'yi'zhong
麻章镇政府,ma'zhang'zhen'zheng'fu
麻志路口,ma'zhi'lu'kou
棉织厂,mian'zhi'chang
民安路口,min'an'lu'kou
民有路,min'you'lu
民治路,min'zhi'lu
民主路中,min'zhu'lu'zhong
明哲路西,ming'zhe'lu'xi
明哲一横路北,ming'zhe'yi'heng'lu'bei
明哲一横路南,ming'zhe'yi'heng'lu'nan
木兰村,mu'lan'cun
木兰皮革厂,mu'lan'pi'ge'chang
那郁村,na'yu'cun
南大理工学校,nan'da'li'gong'xue'xiao
南方路,nan'fang'lu
南华广场,nan'hua'guang'chang
南柳村路口,nan'liu'cun'lu'kou
南桥,nan'qiao
南桥北路东,nan'qiao'bei'lu'dong
南桥北路中,nan'qiao'bei'lu'zhong
南桥南路东,nan'qiao'nan'lu'dong
南桥南路中,nan'qiao'nan'lu'zhong
南三渡口,nan'san'du'kou
南通路口,nan'tong'lu'kou
南油礼堂,nan'you'li'tang
南油码头,nan'you'ma'tou
南油三区南,nan'you'san'qu'nan
南油三区西,nan'you'san'qu'xi
南油四区,nan'you'si'qu
南油五区,nan'you'wu'qu
南油医院,nan'you'yi'yuan
南油迎宾馆路口,nan'you'ying'bin'guan'lu'kou
南站批发市场,nan'zhan'pi'fa'shi'chang
硇洲渡口,nao'zhou'du'kou
年丰豪庭,nian'feng'hao'ting
聂村,nie'cun
