阿部丰,a'bu'feng
阿笠,a'li
阿笠博士,a'li'bo'shi
阿笠人偶,a'li'ren'ou
爱德华克洛,ai'de'hua'ke'luo
爱狗一族,ai'gou'yi'zu
艾里娜,ai'li'na
艾琳安多拉,ai'lin'an'duo'la
爱犬家们,ai'quan'jia'men
爱犬约翰杀人事件,ai'quan'yue'han'sha'ren'shi'jian
爱与决心的必杀球,ai'yu'jue'xin'de'bi'sha'qiu
暗夜的袭击,an'ye'de'xi'ji
暗夜公爵,an'ye'gong'jue
暗夜公爵夫人登场,an'ye'gong'jue'fu'ren'deng'chang
暗夜男爵,an'ye'nan'jue
暗之男爵,an'zhi'nan'jue
巴达克,ba'da'ke
八头蛇的剑,ba'tou'she'de'jian
八重子,ba'zhong'zi
白鹤报恩杀人事件,bai'he'bao'en'sha'ren'shi'jian
百货公司挟持事件,bai'huo'gong'si'xie'chi'shi'jian
白马探,bai'ma'tan
白鸟任三郎,bai'niao'ren'san'lang
白色的世界,bai'se'de'shi'jie
白色的凶手,bai'se'de'xiong'shou
白色海滩杀人事件,bai'se'hai'tan'sha'ren'shi'jian
包房的死角,bao'fang'de'si'jiao
宝石抢匪现行犯,bao'shi'qiang'fei'xian'xing'fan
报应,bao'ying
北斗星号,bei'dou'xing'hao
贝尔摩得,bei'er'mo'de
贝吉塔达尔,bei'ji'ta'da'er
贝吉塔行星,bei'ji'ta'xing'xing
北界王,bei'jie'wang
被禁止了的文件,bei'jin'zhi'le'de'wen'jian
被狙击的名侦探,bei'ju'ji'de'ming'zhen'tan
贝克街的亡灵,bei'ke'jie'de'wang'ling
被密封的汽车,bei'mi'feng'de'qi'che
背叛的街角,bei'pan'de'jie'jiao
被囚禁的刑警,bei'qiu'jin'de'xing'jing
被杀了四次的男人,bei'sha'le'si'ci'de'nan'ren
悲伤的虎卷,bei'shang'de'hu'juan
被挑拨的友情,bei'tiao'bo'de'you'qing
被袭击的球,bei'xi'ji'de'qiu
被遗留下桌子的真相,bei'yi'liu'xia'zhuo'zi'de'zhen'xiang
被遗忘的手机,bei'yi'wang'de'shou'ji
被隐藏的球,bei'yin'cang'de'qiu
被诱至孤城,bei'you'zhi'gu'cheng
被组织的魔掌触碰的瞬间,bei'zu'zhi'de'mo'zhang'chu'peng'de'shun'jian
本堂瑛海,ben'tang'ying'hai
本堂瑛佑,ben'tang'ying'you
本堂瑛祐,ben'tang'ying'you
本厅刑警的恋爱故事左手无名指,ben'ting'xing'jing'de'lian'ai'gu'shi'zuo'shou'wu'ming'zhi
本厅刑事的恋爱物语,ben'ting'xing'shi'de'lian'ai'wu'yu
比黛儿,bi'dai'er
笔记本型电子地图,bi'ji'ben'xing'dian'zi'di'tu
比克大魔王,bi'ke'da'mo'wang
比赛结束,bi'sai'jie'shu
比赛开始,bi'sai'kai'shi
比星星更秘密,bi'xing'xing'geng'mi'mi
便当型传真机,bian'dang'xing'chuan'zhen'ji
变化的剑士,bian'hua'de'jian'shi
便利店的陷阱,bian'li'dian'de'xian'jing
别有玄机的八音盒,bie'you'xuan'ji'de'ba'yin'he
波本,bo'ben
搏击王子,bo'ji'wang'zi
博士的初恋,bo'shi'de'chu'lian
不纯的大搜索,bu'chun'de'da'sou'suo
布尔兹光波,bu'er'zi'guang'bo
不合群,bu'he'qun
不合群者,bu'he'qun'zhe
不怀疑吗,bu'huai'yi'ma
捕获的猎物,bu'huo'de'lie'wu
不可能犯罪,bu'ke'neng'fan'zui
不可思议的春天甲壳虫,bu'ke'si'yi'de'chun'tian'jia'ke'chong
不可思议的天使之馆,bu'ke'si'yi'de'tian'shi'zhi'guan
布玛,bu'ma
步美被绑事件,bu'mei'bei'bang'shi'jian
步美传达的讯息,bu'mei'chuan'da'de'xun'xi
步美的担心,bu'mei'di'dan'xin
不灭,bu'mie
不明的暗号,bu'ming'de'an'hao
不能控制的租赁汽车,bu'neng'kong'zhi'de'zu'lin'qi'che
不协调的感觉,bu'xie'tiao'de'gan'jue
不幸的误会,bu'xing'de'wu'hui
不在场证明的隐身术,bu'zai'chang'zheng'ming'de'yin'shen'shu
不在场证明杀人事件,bu'zai'chang'zheng'ming'sha'ren'shi'jian
残像拳,can'xiang'quan
残影拳,can'ying'quan
操纵,cao'zong
厕所里隐藏的秘密,ce'suo'li'yin'cang'de'mi'mi
茶风林,cha'feng'lin
插画画家杀人事件,cha'hua'hua'jia'sha'ren'shi'jian
茶木神太郎,cha'mu'shen'tai'lang
柴田杏花,chai'tian'xing'hua
缠在网子中的谜团,chan'zai'wang'zi'zhong'de'mi'tuan
长岛茂雄,chang'dao'mao'xiong
敞开心扉,chang'kai'xin'fei
超级汽车陷阱,chao'ji'qi'che'xian'jing
朝向迷宫的入口巨神像之怒,chao'xiang'mi'gong'de'ru'kou'ju'shen'xiang'zhi'nu
超越时空,chao'yue'shi'kong
沉没的航线,chen'mo'de'hang'xian
沉默的环状线,chen'mo'de'huan'zhuang'xian
沉默的剑士,chen'mo'de'jian'shi
池波静华,chi'bo'jing'hua
赤井的过去,chi'jing'de'guo'qu
赤井秀一,chi'jing'xiu'yi
赤马的目击者,chi'ma'de'mu'ji'zhe
赤马的影,chi'ma'de'ying
